variant,step,task,expert_index,mean_weight,batch_cases
hierarchical_router_dictionary,1,anatomy,0,0.3552866578102112,"Case2022,Case3043"
hierarchical_router_dictionary,1,anatomy,1,0.34042924642562866,"Case2022,Case3043"
hierarchical_router_dictionary,1,anatomy,2,0.30428412556648254,"Case2022,Case3043"
hierarchical_router_dictionary,1,anatomy,3,0.0,"Case2022,Case3043"
hierarchical_router_dictionary,1,scar,0,0.38278013467788696,"Case2022,Case3043"
hierarchical_router_dictionary,1,scar,1,0.3493208885192871,"Case2022,Case3043"
hierarchical_router_dictionary,1,scar,2,0.11935378611087799,"Case2022,Case3043"
hierarchical_router_dictionary,1,scar,3,0.14854520559310913,"Case2022,Case3043"
hierarchical_router_dictionary,1,edema,0,0.2923077940940857,"Case2022,Case3043"
hierarchical_router_dictionary,1,edema,1,0.3044322431087494,"Case2022,Case3043"
hierarchical_router_dictionary,1,edema,2,0.27768251299858093,"Case2022,Case3043"
hierarchical_router_dictionary,1,edema,3,0.12557744979858398,"Case2022,Case3043"
hierarchical_router_dictionary,500,anatomy,0,0.0,"Case3027,Case2030"
hierarchical_router_dictionary,500,anatomy,1,0.3492467999458313,"Case3027,Case2030"
hierarchical_router_dictionary,500,anatomy,2,0.5617037415504456,"Case3027,Case2030"
hierarchical_router_dictionary,500,anatomy,3,0.08904949575662613,"Case3027,Case2030"
hierarchical_router_dictionary,500,scar,0,0.25048571825027466,"Case3027,Case2030"
hierarchical_router_dictionary,500,scar,1,0.09863326698541641,"Case3027,Case2030"
hierarchical_router_dictionary,500,scar,2,0.6508810520172119,"Case3027,Case2030"
hierarchical_router_dictionary,500,scar,3,0.0,"Case3027,Case2030"
hierarchical_router_dictionary,500,edema,0,0.24551106989383698,"Case3027,Case2030"
hierarchical_router_dictionary,500,edema,1,0.0,"Case3027,Case2030"
hierarchical_router_dictionary,500,edema,2,0.5845143795013428,"Case3027,Case2030"
hierarchical_router_dictionary,500,edema,3,0.16997456550598145,"Case3027,Case2030"
hierarchical_router_dictionary,1000,anatomy,0,0.772506833076477,"Case7001,Case2022"
hierarchical_router_dictionary,1000,anatomy,1,0.0,"Case7001,Case2022"
hierarchical_router_dictionary,1000,anatomy,2,0.08857370913028717,"Case7001,Case2022"
hierarchical_router_dictionary,1000,anatomy,3,0.1389194279909134,"Case7001,Case2022"
hierarchical_router_dictionary,1000,scar,0,0.059788428246974945,"Case7001,Case2022"
hierarchical_router_dictionary,1000,scar,1,0.5682450532913208,"Case7001,Case2022"
hierarchical_router_dictionary,1000,scar,2,0.10452795773744583,"Case7001,Case2022"
hierarchical_router_dictionary,1000,scar,3,0.2674385905265808,"Case7001,Case2022"
hierarchical_router_dictionary,1000,edema,0,0.26202917098999023,"Case7001,Case2022"
hierarchical_router_dictionary,1000,edema,1,0.07232202589511871,"Case7001,Case2022"
hierarchical_router_dictionary,1000,edema,2,0.27015313506126404,"Case7001,Case2022"
hierarchical_router_dictionary,1000,edema,3,0.3954956531524658,"Case7001,Case2022"
hierarchical_router_dictionary,1500,anatomy,0,0.38834768533706665,"Case2026,Case3032"
hierarchical_router_dictionary,1500,anatomy,1,0.32948875427246094,"Case2026,Case3032"
hierarchical_router_dictionary,1500,anatomy,2,0.10338190943002701,"Case2026,Case3032"
