variant,step,task,expert_index,mean_weight,batch_cases
srr_v2_capacity12_hardneg,1,anatomy_scale0,0,0.12077953666448593,Case2018
srr_v2_capacity12_hardneg,1,anatomy_scale0,1,0.15674950182437897,Case2018
srr_v2_capacity12_hardneg,1,anatomy_scale0,2,0.17395882308483124,Case2018
srr_v2_capacity12_hardneg,1,anatomy_scale0,3,0.09771125763654709,Case2018
srr_v2_capacity12_hardneg,1,anatomy_scale0,4,0.1398465782403946,Case2018
srr_v2_capacity12_hardneg,1,anatomy_scale0,5,0.1564628779888153,Case2018
srr_v2_capacity12_hardneg,1,anatomy_scale0,6,0.15449145436286926,Case2018
srr_v2_capacity12_hardneg,1,scar_scale0,0,0.1263655424118042,Case2018
srr_v2_capacity12_hardneg,1,scar_scale0,1,0.15399323403835297,Case2018
srr_v2_capacity12_hardneg,1,scar_scale0,2,0.17799198627471924,Case2018
srr_v2_capacity12_hardneg,1,scar_scale0,3,0.11647894233465195,Case2018
srr_v2_capacity12_hardneg,1,scar_scale0,4,0.13664646446704865,Case2018
srr_v2_capacity12_hardneg,1,scar_scale0,5,0.12104228138923645,Case2018
srr_v2_capacity12_hardneg,1,scar_scale0,6,0.16748152673244476,Case2018
srr_v2_capacity12_hardneg,1,edema_scale0,0,0.14554601907730103,Case2018
srr_v2_capacity12_hardneg,1,edema_scale0,1,0.10043186694383621,Case2018
srr_v2_capacity12_hardneg,1,edema_scale0,2,0.19396986067295074,Case2018
srr_v2_capacity12_hardneg,1,edema_scale0,3,0.16076496243476868,Case2018
srr_v2_capacity12_hardneg,1,edema_scale0,4,0.1401817798614502,Case2018
srr_v2_capacity12_hardneg,1,edema_scale0,5,0.13752247393131256,Case2018
srr_v2_capacity12_hardneg,1,edema_scale0,6,0.12158311903476715,Case2018
srr_v2_capacity12_hardneg,1,anatomy_scale1,0,0.11762130260467529,Case2018
srr_v2_capacity12_hardneg,1,anatomy_scale1,1,0.16396425664424896,Case2018
srr_v2_capacity12_hardneg,1,anatomy_scale1,2,0.14085732400417328,Case2018
srr_v2_capacity12_hardneg,1,anatomy_scale1,3,0.13626858592033386,Case2018
srr_v2_capacity12_hardneg,1,anatomy_scale1,4,0.1320703625679016,Case2018
srr_v2_capacity12_hardneg,1,anatomy_scale1,5,0.1659323275089264,Case2018
srr_v2_capacity12_hardneg,1,anatomy_scale1,6,0.14328590035438538,Case2018
srr_v2_capacity12_hardneg,1,scar_scale1,0,0.13026882708072662,Case2018
srr_v2_capacity12_hardneg,1,scar_scale1,1,0.1441826969385147,Case2018
srr_v2_capacity12_hardneg,1,scar_scale1,2,0.19060014188289642,Case2018
srr_v2_capacity12_hardneg,1,scar_scale1,3,0.12188205868005753,Case2018
srr_v2_capacity12_hardneg,1,scar_scale1,4,0.13183985650539398,Case2018
srr_v2_capacity12_hardneg,1,scar_scale1,5,0.1518525928258896,Case2018
srr_v2_capacity12_hardneg,1,scar_scale1,6,0.12937384843826294,Case2018
srr_v2_capacity12_hardneg,1,edema_scale1,0,0.16764557361602783,Case2018
srr_v2_capacity12_hardneg,1,edema_scale1,1,0.1319502890110016,Case2018
srr_v2_capacity12_hardneg,1,edema_scale1,2,0.16561982035636902,Case2018
srr_v2_capacity12_hardneg,1,edema_scale1,3,0.12087514251470566,Case2018
srr_v2_capacity12_hardneg,1,edema_scale1,4,0.11247080564498901,Case2018
srr_v2_capacity12_hardneg,1,edema_scale1,5,0.1746731549501419,Case2018
srr_v2_capacity12_hardneg,1,edema_scale1,6,0.12676525115966797,Case2018
srr_v2_capacity12_hardneg,1,anatomy_scale2,0,0.10475103557109833,Case2018
srr_v2_capacity12_hardneg,1,anatomy_scale2,1,0.12017018347978592,Case2018
srr_v2_capacity12_hardneg,1,anatomy_scale2,2,0.14122597873210907,Case2018
srr_v2_capacity12_hardneg,1,anatomy_scale2,3,0.14658911526203156,Case2018
srr_v2_capacity12_hardneg,1,anatomy_scale2,4,0.18763716518878937,Case2018
srr_v2_capacity12_hardneg,1,anatomy_scale2,5,0.16785451769828796,Case2018
srr_v2_capacity12_hardneg,1,anatomy_scale2,6,0.1317720115184784,Case2018
srr_v2_capacity12_hardneg,1,scar_scale2,0,0.17658357322216034,Case2018
srr_v2_capacity12_hardneg,1,scar_scale2,1,0.10877972841262817,Case2018
srr_v2_capacity12_hardneg,1,scar_scale2,2,0.11646202951669693,Case2018
srr_v2_capacity12_hardneg,1,scar_scale2,3,0.12376702576875687,Case2018
srr_v2_capacity12_hardneg,1,scar_scale2,4,0.13623976707458496,Case2018
srr_v2_capacity12_hardneg,1,scar_scale2,5,0.16657203435897827,Case2018
srr_v2_capacity12_hardneg,1,scar_scale2,6,0.17159585654735565,Case2018
srr_v2_capacity12_hardneg,1,edema_scale2,0,0.1053442731499672,Case2018
srr_v2_capacity12_hardneg,1,edema_scale2,1,0.17829029262065887,Case2018
srr_v2_capacity12_hardneg,1,edema_scale2,2,0.14705698192119598,Case2018
srr_v2_capacity12_hardneg,1,edema_scale2,3,0.15127252042293549,Case2018
srr_v2_capacity12_hardneg,1,edema_scale2,4,0.12681369483470917,Case2018
srr_v2_capacity12_hardneg,1,edema_scale2,5,0.14124323427677155,Case2018
srr_v2_capacity12_hardneg,1,edema_scale2,6,0.14997899532318115,Case2018
srr_v2_capacity12_hardneg,2,anatomy_scale0,0,0.2057105004787445,Case3016
srr_v2_capacity12_hardneg,2,anatomy_scale0,1,0.2680879235267639,Case3016
srr_v2_capacity12_hardneg,2,anatomy_scale0,2,0.27411267161369324,Case3016
srr_v2_capacity12_hardneg,2,anatomy_scale0,3,0.0,Case3016
srr_v2_capacity12_hardneg,2,anatomy_scale0,4,0.25208890438079834,Case3016
srr_v2_capacity12_hardneg,2,anatomy_scale0,5,0.0,Case3016
srr_v2_capacity12_hardneg,2,anatomy_scale0,6,0.0,Case3016
srr_v2_capacity12_hardneg,2,scar_scale0,0,0.22230997681617737,Case3016
srr_v2_capacity12_hardneg,2,scar_scale0,1,0.25229641795158386,Case3016
srr_v2_capacity12_hardneg,2,scar_scale0,2,0.3034328818321228,Case3016
srr_v2_capacity12_hardneg,2,scar_scale0,3,0.0,Case3016
srr_v2_capacity12_hardneg,2,scar_scale0,4,0.22196072340011597,Case3016
srr_v2_capacity12_hardneg,2,scar_scale0,5,0.0,Case3016
srr_v2_capacity12_hardneg,2,scar_scale0,6,0.0,Case3016
srr_v2_capacity12_hardneg,2,edema_scale0,0,0.2545536458492279,Case3016
srr_v2_capacity12_hardneg,2,edema_scale0,1,0.21042276918888092,Case3016
srr_v2_capacity12_hardneg,2,edema_scale0,2,0.3135380744934082,Case3016
srr_v2_capacity12_hardneg,2,edema_scale0,3,0.0,Case3016
srr_v2_capacity12_hardneg,2,edema_scale0,4,0.22148555517196655,Case3016
srr_v2_capacity12_hardneg,2,edema_scale0,5,0.0,Case3016
srr_v2_capacity12_hardneg,2,edema_scale0,6,0.0,Case3016
srr_v2_capacity12_hardneg,2,anatomy_scale1,0,0.21119964122772217,Case3016
srr_v2_capacity12_hardneg,2,anatomy_scale1,1,0.30797702074050903,Case3016
srr_v2_capacity12_hardneg,2,anatomy_scale1,2,0.24225735664367676,Case3016
srr_v2_capacity12_hardneg,2,anatomy_scale1,3,0.0,Case3016
srr_v2_capacity12_hardneg,2,anatomy_scale1,4,0.23856596648693085,Case3016
srr_v2_capacity12_hardneg,2,anatomy_scale1,5,0.0,Case3016
srr_v2_capacity12_hardneg,2,anatomy_scale1,6,0.0,Case3016
srr_v2_capacity12_hardneg,2,scar_scale1,0,0.2198340892791748,Case3016
srr_v2_capacity12_hardneg,2,scar_scale1,1,0.24066315591335297,Case3016
srr_v2_capacity12_hardneg,2,scar_scale1,2,0.3144317865371704,Case3016
srr_v2_capacity12_hardneg,2,scar_scale1,3,0.0,Case3016
srr_v2_capacity12_hardneg,2,scar_scale1,4,0.22507093846797943,Case3016
srr_v2_capacity12_hardneg,2,scar_scale1,5,0.0,Case3016
srr_v2_capacity12_hardneg,2,scar_scale1,6,0.0,Case3016
srr_v2_capacity12_hardneg,2,edema_scale1,0,0.2868172228336334,Case3016
srr_v2_capacity12_hardneg,2,edema_scale1,1,0.22555270791053772,Case3016
srr_v2_capacity12_hardneg,2,edema_scale1,2,0.2877955138683319,Case3016
srr_v2_capacity12_hardneg,2,edema_scale1,3,0.0,Case3016
srr_v2_capacity12_hardneg,2,edema_scale1,4,0.19983460009098053,Case3016
srr_v2_capacity12_hardneg,2,edema_scale1,5,0.0,Case3016
srr_v2_capacity12_hardneg,2,edema_scale1,6,0.0,Case3016
srr_v2_capacity12_hardneg,2,anatomy_scale2,0,0.1886938363313675,Case3016
srr_v2_capacity12_hardneg,2,anatomy_scale2,1,0.22065354883670807,Case3016
srr_v2_capacity12_hardneg,2,anatomy_scale2,2,0.2597063183784485,Case3016
srr_v2_capacity12_hardneg,2,anatomy_scale2,3,0.0,Case3016
srr_v2_capacity12_hardneg,2,anatomy_scale2,4,0.33094629645347595,Case3016
srr_v2_capacity12_hardneg,2,anatomy_scale2,5,0.0,Case3016
srr_v2_capacity12_hardneg,2,anatomy_scale2,6,0.0,Case3016
srr_v2_capacity12_hardneg,2,scar_scale2,0,0.32584547996520996,Case3016
srr_v2_capacity12_hardneg,2,scar_scale2,1,0.20341280102729797,Case3016
srr_v2_capacity12_hardneg,2,scar_scale2,2,0.2297644168138504,Case3016
srr_v2_capacity12_hardneg,2,scar_scale2,3,0.0,Case3016
srr_v2_capacity12_hardneg,2,scar_scale2,4,0.24097731709480286,Case3016
srr_v2_capacity12_hardneg,2,scar_scale2,5,0.0,Case3016
srr_v2_capacity12_hardneg,2,scar_scale2,6,0.0,Case3016
srr_v2_capacity12_hardneg,2,edema_scale2,0,0.18819263577461243,Case3016
srr_v2_capacity12_hardneg,2,edema_scale2,1,0.3116007149219513,Case3016
srr_v2_capacity12_hardneg,2,edema_scale2,2,0.27703624963760376,Case3016
srr_v2_capacity12_hardneg,2,edema_scale2,3,0.0,Case3016
srr_v2_capacity12_hardneg,2,edema_scale2,4,0.2231704145669937,Case3016
srr_v2_capacity12_hardneg,2,edema_scale2,5,0.0,Case3016
srr_v2_capacity12_hardneg,2,edema_scale2,6,0.0,Case3016
