variant,step,task,expert_index,mean_weight,batch_cases
srr_v2_capacity12_proposal,1,anatomy_scale0,0,0.13346007466316223,Case2028
srr_v2_capacity12_proposal,1,anatomy_scale0,1,0.10495167225599289,Case2028
srr_v2_capacity12_proposal,1,anatomy_scale0,2,0.19347694516181946,Case2028
srr_v2_capacity12_proposal,1,anatomy_scale0,3,0.11855264008045197,Case2028
srr_v2_capacity12_proposal,1,anatomy_scale0,4,0.14474938809871674,Case2028
srr_v2_capacity12_proposal,1,anatomy_scale0,5,0.1713080257177353,Case2028
srr_v2_capacity12_proposal,1,anatomy_scale0,6,0.1335013210773468,Case2028
srr_v2_capacity12_proposal,1,scar_scale0,0,0.12779009342193604,Case2028
srr_v2_capacity12_proposal,1,scar_scale0,1,0.12772122025489807,Case2028
srr_v2_capacity12_proposal,1,scar_scale0,2,0.10511156171560287,Case2028
srr_v2_capacity12_proposal,1,scar_scale0,3,0.13970740139484406,Case2028
srr_v2_capacity12_proposal,1,scar_scale0,4,0.15529578924179077,Case2028
srr_v2_capacity12_proposal,1,scar_scale0,5,0.16921687126159668,Case2028
srr_v2_capacity12_proposal,1,scar_scale0,6,0.1751570701599121,Case2028
srr_v2_capacity12_proposal,1,edema_scale0,0,0.17943567037582397,Case2028
srr_v2_capacity12_proposal,1,edema_scale0,1,0.12249419093132019,Case2028
srr_v2_capacity12_proposal,1,edema_scale0,2,0.12408194690942764,Case2028
srr_v2_capacity12_proposal,1,edema_scale0,3,0.16142204403877258,Case2028
srr_v2_capacity12_proposal,1,edema_scale0,4,0.12189804762601852,Case2028
srr_v2_capacity12_proposal,1,edema_scale0,5,0.1416194885969162,Case2028
srr_v2_capacity12_proposal,1,edema_scale0,6,0.1490485817193985,Case2028
srr_v2_capacity12_proposal,1,anatomy_scale1,0,0.12998981773853302,Case2028
srr_v2_capacity12_proposal,1,anatomy_scale1,1,0.10848504304885864,Case2028
srr_v2_capacity12_proposal,1,anatomy_scale1,2,0.15431028604507446,Case2028
srr_v2_capacity12_proposal,1,anatomy_scale1,3,0.20430727303028107,Case2028
srr_v2_capacity12_proposal,1,anatomy_scale1,4,0.12846635282039642,Case2028
srr_v2_capacity12_proposal,1,anatomy_scale1,5,0.11889191716909409,Case2028
srr_v2_capacity12_proposal,1,anatomy_scale1,6,0.1555493026971817,Case2028
srr_v2_capacity12_proposal,1,scar_scale1,0,0.1728847622871399,Case2028
srr_v2_capacity12_proposal,1,scar_scale1,1,0.14008258283138275,Case2028
srr_v2_capacity12_proposal,1,scar_scale1,2,0.119146928191185,Case2028
srr_v2_capacity12_proposal,1,scar_scale1,3,0.1628422737121582,Case2028
srr_v2_capacity12_proposal,1,scar_scale1,4,0.11628566682338715,Case2028
srr_v2_capacity12_proposal,1,scar_scale1,5,0.11620400100946426,Case2028
srr_v2_capacity12_proposal,1,scar_scale1,6,0.17255374789237976,Case2028
srr_v2_capacity12_proposal,1,edema_scale1,0,0.12434792518615723,Case2028
srr_v2_capacity12_proposal,1,edema_scale1,1,0.18357647955417633,Case2028
srr_v2_capacity12_proposal,1,edema_scale1,2,0.12365230172872543,Case2028
srr_v2_capacity12_proposal,1,edema_scale1,3,0.14058917760849,Case2028
srr_v2_capacity12_proposal,1,edema_scale1,4,0.15211696922779083,Case2028
srr_v2_capacity12_proposal,1,edema_scale1,5,0.14667601883411407,Case2028
srr_v2_capacity12_proposal,1,edema_scale1,6,0.1290411651134491,Case2028
srr_v2_capacity12_proposal,1,anatomy_scale2,0,0.16129843890666962,Case2028
srr_v2_capacity12_proposal,1,anatomy_scale2,1,0.17430157959461212,Case2028
srr_v2_capacity12_proposal,1,anatomy_scale2,2,0.1188669502735138,Case2028
srr_v2_capacity12_proposal,1,anatomy_scale2,3,0.13029614090919495,Case2028
srr_v2_capacity12_proposal,1,anatomy_scale2,4,0.1347847282886505,Case2028
srr_v2_capacity12_proposal,1,anatomy_scale2,5,0.13637830317020416,Case2028
srr_v2_capacity12_proposal,1,anatomy_scale2,6,0.14407387375831604,Case2028
srr_v2_capacity12_proposal,1,scar_scale2,0,0.13213972747325897,Case2028
srr_v2_capacity12_proposal,1,scar_scale2,1,0.15664000809192657,Case2028
srr_v2_capacity12_proposal,1,scar_scale2,2,0.13615581393241882,Case2028
srr_v2_capacity12_proposal,1,scar_scale2,3,0.15712058544158936,Case2028
srr_v2_capacity12_proposal,1,scar_scale2,4,0.15564486384391785,Case2028
srr_v2_capacity12_proposal,1,scar_scale2,5,0.10523156076669693,Case2028
srr_v2_capacity12_proposal,1,scar_scale2,6,0.1570674479007721,Case2028
srr_v2_capacity12_proposal,1,edema_scale2,0,0.14662636816501617,Case2028
srr_v2_capacity12_proposal,1,edema_scale2,1,0.12597648799419403,Case2028
srr_v2_capacity12_proposal,1,edema_scale2,2,0.13145901262760162,Case2028
srr_v2_capacity12_proposal,1,edema_scale2,3,0.1370968073606491,Case2028
srr_v2_capacity12_proposal,1,edema_scale2,4,0.12711067497730255,Case2028
srr_v2_capacity12_proposal,1,edema_scale2,5,0.2085544914007187,Case2028
srr_v2_capacity12_proposal,1,edema_scale2,6,0.12317618727684021,Case2028
srr_v2_capacity12_proposal,2,anatomy_scale0,0,0.1387357860803604,Case3043
srr_v2_capacity12_proposal,2,anatomy_scale0,1,0.09948497265577316,Case3043
srr_v2_capacity12_proposal,2,anatomy_scale0,2,0.1994168907403946,Case3043
srr_v2_capacity12_proposal,2,anatomy_scale0,3,0.1157776340842247,Case3043
srr_v2_capacity12_proposal,2,anatomy_scale0,4,0.1512121558189392,Case3043
srr_v2_capacity12_proposal,2,anatomy_scale0,5,0.16267456114292145,Case3043
srr_v2_capacity12_proposal,2,anatomy_scale0,6,0.13269804418087006,Case3043
srr_v2_capacity12_proposal,2,scar_scale0,0,0.1250675767660141,Case3043
srr_v2_capacity12_proposal,2,scar_scale0,1,0.12074531614780426,Case3043
srr_v2_capacity12_proposal,2,scar_scale0,2,0.10245348513126373,Case3043
srr_v2_capacity12_proposal,2,scar_scale0,3,0.13698184490203857,Case3043
srr_v2_capacity12_proposal,2,scar_scale0,4,0.1658744215965271,Case3043
srr_v2_capacity12_proposal,2,scar_scale0,5,0.17264977097511292,Case3043
srr_v2_capacity12_proposal,2,scar_scale0,6,0.1762275993824005,Case3043
srr_v2_capacity12_proposal,2,edema_scale0,0,0.17541693150997162,Case3043
srr_v2_capacity12_proposal,2,edema_scale0,1,0.12389933317899704,Case3043
srr_v2_capacity12_proposal,2,edema_scale0,2,0.1189003437757492,Case3043
srr_v2_capacity12_proposal,2,edema_scale0,3,0.16486036777496338,Case3043
srr_v2_capacity12_proposal,2,edema_scale0,4,0.12592367827892303,Case3043
srr_v2_capacity12_proposal,2,edema_scale0,5,0.15135781466960907,Case3043
srr_v2_capacity12_proposal,2,edema_scale0,6,0.13964153826236725,Case3043
srr_v2_capacity12_proposal,2,anatomy_scale1,0,0.13265687227249146,Case3043
srr_v2_capacity12_proposal,2,anatomy_scale1,1,0.11101359874010086,Case3043
srr_v2_capacity12_proposal,2,anatomy_scale1,2,0.1534397006034851,Case3043
srr_v2_capacity12_proposal,2,anatomy_scale1,3,0.20197159051895142,Case3043
srr_v2_capacity12_proposal,2,anatomy_scale1,4,0.12738649547100067,Case3043
srr_v2_capacity12_proposal,2,anatomy_scale1,5,0.1184951439499855,Case3043
srr_v2_capacity12_proposal,2,anatomy_scale1,6,0.15503659844398499,Case3043
srr_v2_capacity12_proposal,2,scar_scale1,0,0.16934755444526672,Case3043
srr_v2_capacity12_proposal,2,scar_scale1,1,0.1387370377779007,Case3043
srr_v2_capacity12_proposal,2,scar_scale1,2,0.11980315297842026,Case3043
srr_v2_capacity12_proposal,2,scar_scale1,3,0.17467844486236572,Case3043
srr_v2_capacity12_proposal,2,scar_scale1,4,0.12358234822750092,Case3043
srr_v2_capacity12_proposal,2,scar_scale1,5,0.11252082139253616,Case3043
srr_v2_capacity12_proposal,2,scar_scale1,6,0.16133064031600952,Case3043
srr_v2_capacity12_proposal,2,edema_scale1,0,0.11877775192260742,Case3043
srr_v2_capacity12_proposal,2,edema_scale1,1,0.18316850066184998,Case3043
srr_v2_capacity12_proposal,2,edema_scale1,2,0.13110540807247162,Case3043
srr_v2_capacity12_proposal,2,edema_scale1,3,0.14037945866584778,Case3043
srr_v2_capacity12_proposal,2,edema_scale1,4,0.1454346477985382,Case3043
srr_v2_capacity12_proposal,2,edema_scale1,5,0.1518542766571045,Case3043
srr_v2_capacity12_proposal,2,edema_scale1,6,0.1292799711227417,Case3043
srr_v2_capacity12_proposal,2,anatomy_scale2,0,0.14959436655044556,Case3043
srr_v2_capacity12_proposal,2,anatomy_scale2,1,0.17645148932933807,Case3043
srr_v2_capacity12_proposal,2,anatomy_scale2,2,0.11936408281326294,Case3043
srr_v2_capacity12_proposal,2,anatomy_scale2,3,0.1282491832971573,Case3043
srr_v2_capacity12_proposal,2,anatomy_scale2,4,0.12460389733314514,Case3043
srr_v2_capacity12_proposal,2,anatomy_scale2,5,0.14805598556995392,Case3043
srr_v2_capacity12_proposal,2,anatomy_scale2,6,0.15368103981018066,Case3043
srr_v2_capacity12_proposal,2,scar_scale2,0,0.12977316975593567,Case3043
srr_v2_capacity12_proposal,2,scar_scale2,1,0.1626751571893692,Case3043
srr_v2_capacity12_proposal,2,scar_scale2,2,0.1376337707042694,Case3043
srr_v2_capacity12_proposal,2,scar_scale2,3,0.1554894894361496,Case3043
srr_v2_capacity12_proposal,2,scar_scale2,4,0.1528947502374649,Case3043
srr_v2_capacity12_proposal,2,scar_scale2,5,0.10459360480308533,Case3043
srr_v2_capacity12_proposal,2,scar_scale2,6,0.1569400578737259,Case3043
srr_v2_capacity12_proposal,2,edema_scale2,0,0.14489972591400146,Case3043
srr_v2_capacity12_proposal,2,edema_scale2,1,0.13267578184604645,Case3043
srr_v2_capacity12_proposal,2,edema_scale2,2,0.13282367587089539,Case3043
srr_v2_capacity12_proposal,2,edema_scale2,3,0.13708144426345825,Case3043
srr_v2_capacity12_proposal,2,edema_scale2,4,0.12291654199361801,Case3043
srr_v2_capacity12_proposal,2,edema_scale2,5,0.20499542355537415,Case3043
srr_v2_capacity12_proposal,2,edema_scale2,6,0.12460741400718689,Case3043
