variant,case_id,center,modality_group,t2_present,class_id,metric_name,proposal_threshold,proposal_recall,proposal_precision,proposal_voxels,gt_voxels,proposal_component_count,proposal_small_fp_count,proposal_remote_fp_count,proposal_outside_union_fp_voxels,proposal_gate_mean,proposal_gate_p95,uncertainty_mean,local_anatomy_confidence_mean
srr_v2_capacity12_proposal,Case1002,CenterA,LGE-only,False,4,myops_edema,0.5,,0.0,6,0,3,3,3,6,1.6703885194147006e-05,7.043381849980435e-11,7.344613550230861e-06,0.04030962660908699
srr_v2_capacity12_proposal,Case1002,CenterA,LGE-only,False,5,myops_scar,0.5,0.6857419980601358,0.5219638242894057,2709,2062,5,2,2,481,0.005146841052919626,0.001688832533545792,0.001840371172875166,0.04030962660908699
srr_v2_capacity12_proposal,Case1007,CenterA,LGE-only,False,4,myops_edema,0.5,,,0,0,0,0,0,0,3.19671009663125e-08,1.0665268147802554e-11,4.4579451241588686e-08,0.033501915633678436
srr_v2_capacity12_proposal,Case1007,CenterA,LGE-only,False,5,myops_scar,0.5,0.7528895974491829,0.24618793170858855,7673,2509,12,9,3,2112,0.005221866071224213,0.0010800721356645226,0.0015786901349201798,0.033501915633678436
srr_v2_capacity12_proposal,Case1009,CenterA,LGE-only,False,4,myops_edema,0.5,,,0,0,0,0,0,0,3.108584678557236e-07,3.2139116368234966e-10,4.104349500266835e-07,0.040184684097766876
srr_v2_capacity12_proposal,Case1009,CenterA,LGE-only,False,5,myops_scar,0.5,0.6298288508557457,0.3712885557797636,6938,4090,20,16,11,1749,0.007122958544641733,0.001162937143817544,0.0019739014096558094,0.040184684097766876
srr_v2_capacity12_proposal,Case1010,CenterA,LGE-only,False,4,myops_edema,0.5,,,0,0,0,0,0,0,2.671147569799359e-07,3.292785835662393e-11,3.7226331528472656e-07,0.04279838874936104
srr_v2_capacity12_proposal,Case1010,CenterA,LGE-only,False,5,myops_scar,0.5,0.4289264413518887,0.17952985229873103,4807,2012,29,19,18,3136,0.00704011507332325,0.0024829404428601265,0.0027946671470999718,0.04279838874936104
srr_v2_capacity12_proposal,Case1021,CenterA,LGE-only,False,4,myops_edema,0.5,,0.0,2,0,1,1,1,2,5.621378932119114e-06,4.8808641156528054e-11,4.470692601898918e-06,0.04329127073287964
srr_v2_capacity12_proposal,Case1021,CenterA,LGE-only,False,5,myops_scar,0.5,0.5028312570781427,0.26475849731663686,3354,1766,20,6,9,1498,0.004795360844582319,0.0018528547370806336,0.0018199944170191884,0.04329127073287964
srr_v2_capacity12_proposal,Case1023,CenterA,LGE-only,False,4,myops_edema,0.5,,0.0,13,0,6,6,6,0,9.859428246272728e-06,1.678942054827992e-11,2.4558398763474543e-06,0.04403110221028328
srr_v2_capacity12_proposal,Case1023,CenterA,LGE-only,False,5,myops_scar,0.5,0.2684873949579832,0.17205169628432956,3714,2380,50,32,26,1897,0.0033361350651830435,0.0014775734161958098,0.0013854835415259004,0.04403110221028328
srr_v2_capacity12_proposal,Case1029,CenterA,LGE-only,False,4,myops_edema,0.5,,,0,0,0,0,0,0,1.7779864691647163e-08,3.3292548405616795e-12,3.109117230337688e-08,0.03154389560222626
srr_v2_capacity12_proposal,Case1029,CenterA,LGE-only,False,5,myops_scar,0.5,0.6581196581196581,0.05115599255912835,7526,585,28,17,27,2874,0.006716605741530657,0.0020393086597323418,0.002733776345849037,0.03154389560222626
srr_v2_capacity12_proposal,Case1033,CenterA,LGE-only,False,4,myops_edema,0.5,,,0,0,0,0,0,0,8.11176321426077e-13,3.2781354128604e-13,0.0,0.00895424373447895
srr_v2_capacity12_proposal,Case1033,CenterA,LGE-only,False,5,myops_scar,0.5,0.3481989708404803,0.3335680751173709,4260,4081,8,7,4,635,0.003727297531440854,0.002505830954760313,0.00220901845023036,0.00895424373447895
srr_v2_capacity12_proposal,Case1040,CenterA,LGE-only,False,4,myops_edema,0.5,,,0,0,0,0,0,0,1.3208683640186791e-06,2.7891005477398423e-11,5.513297196557687e-07,0.038184572011232376
srr_v2_capacity12_proposal,Case1040,CenterA,LGE-only,False,5,myops_scar,0.5,0.42744916820702406,0.1773049645390071,5217,2164,31,25,13,3392,0.007491617929190397,0.0027802924159914255,0.003010999411344528,0.038184572011232376
srr_v2_capacity12_proposal,Case1042,CenterA,LGE-only,False,4,myops_edema,0.5,,,0,0,0,0,0,0,2.1792186544189462e-06,9.301954172202809e-12,4.0298488102052943e-07,0.026364432647824287
srr_v2_capacity12_proposal,Case1042,CenterA,LGE-only,False,5,myops_scar,0.5,0.5938189845474614,0.3780744905130007,1423,906,14,11,0,625,0.0038036047481000423,0.001598552567884326,0.0015289457514882088,0.026364432647824287
srr_v2_capacity12_proposal,Case1045,CenterA,LGE-only,False,4,myops_edema,0.5,,,0,0,0,0,0,0,3.2968539009914366e-09,2.773033538905345e-12,1.7092437465393573e-09,0.024373220279812813
srr_v2_capacity12_proposal,Case1045,CenterA,LGE-only,False,5,myops_scar,0.5,0.18615591397849462,0.10961614562722596,2527,1488,25,18,2,523,0.00508967787027359,0.0021950993686914444,0.002087092027068138,0.024373220279812813
srr_v2_capacity12_proposal,Case1047,CenterA,LGE-only,False,4,myops_edema,0.5,,,0,0,0,0,0,0,1.823017625746104e-09,2.149435837650593e-11,4.692234933934003e-10,0.03588230535387993
srr_v2_capacity12_proposal,Case1047,CenterA,LGE-only,False,5,myops_scar,0.5,0.6587112171837709,0.3513405998886148,12569,6704,35,27,18,4944,0.008534024469554424,0.0024171166587620974,0.0031114842277020216,0.03588230535387993
srr_v2_capacity12_proposal,Case1053,CenterA,LGE-only,False,4,myops_edema,0.5,,0.0,30,0,7,7,7,30,5.869076994713396e-05,7.863309309241728e-11,3.875002948916517e-05,0.06919433176517487
srr_v2_capacity12_proposal,Case1053,CenterA,LGE-only,False,5,myops_scar,0.5,0.3491912464319695,0.06838084591019192,5367,1051,27,24,10,2567,0.010480307973921299,0.005793419666588306,0.004351513460278511,0.06919433176517487
srr_v2_capacity12_proposal,Case1062,CenterA,LGE-only,False,4,myops_edema,0.5,,0.0,6,0,1,1,1,0,4.95303265779512e-06,8.718668148555153e-11,2.9151658509363187e-06,0.04369523748755455
srr_v2_capacity12_proposal,Case1062,CenterA,LGE-only,False,5,myops_scar,0.5,0.5406263224714346,0.16165770325846252,15805,4726,36,24,16,7357,0.012860913760960102,0.004307332914322615,0.0049493140541017056,0.04369523748755455
srr_v2_capacity12_proposal,Case1070,CenterA,LGE-only,False,4,myops_edema,0.5,,,0,0,0,0,0,0,5.096995048248232e-11,2.2472950150093096e-12,1.6825652199639607e-12,0.019052311778068542
srr_v2_capacity12_proposal,Case1070,CenterA,LGE-only,False,5,myops_scar,0.5,0.5349022736338253,0.1804602341542188,7431,2507,18,14,5,906,0.006084984168410301,0.002550356090068817,0.0025547428522258997,0.019052311778068542
srr_v2_capacity12_proposal,Case1073,CenterA,LGE-only,False,4,myops_edema,0.5,,0.0,10,0,1,1,1,0,1.661746864556335e-05,6.186775397543087e-11,4.338496637501521e-06,0.05118635296821594
srr_v2_capacity12_proposal,Case1073,CenterA,LGE-only,False,5,myops_scar,0.5,0.4070031832651205,0.2586705202312139,3460,2199,15,10,7,1251,0.006100314669311047,0.002625517314299941,0.0025287505704909563,0.05118635296821594
srr_v2_capacity12_proposal,Case1080,CenterA,LGE-only,False,4,myops_edema,0.5,,,0,0,0,0,0,0,2.2843304938596765e-13,5.033803777455825e-13,0.0,0.0033525109756737947
srr_v2_capacity12_proposal,Case1080,CenterA,LGE-only,False,5,myops_scar,0.5,0.011560693641618497,0.37209302325581395,43,1384,3,1,2,27,0.0004438973555807024,0.0016283547738566995,0.0001649710175115615,0.0033525109756737947
srr_v2_capacity12_proposal,Case2002,CenterB,C0+LGE+T2,True,4,myops_edema,0.5,0.4708222811671088,0.41484078293894244,3423,3016,9,5,0,948,0.008606904186308384,5.306668438009865e-09,0.0016311623621731997,0.05013871192932129
srr_v2_capacity12_proposal,Case2002,CenterB,C0+LGE+T2,True,5,myops_scar,0.5,0.3817635270541082,0.36045411542100286,1057,998,23,15,6,167,0.0029583382420241833,0.00011432145402068272,0.0011200356530025601,0.05013871192932129
srr_v2_capacity12_proposal,Case2007,CenterB,C0+LGE+T2,True,4,myops_edema,0.5,0.5259917920656635,0.5524425287356322,1392,1462,10,6,0,125,0.008886018767952919,1.6792193191506044e-09,0.001741075306199491,0.03860867768526077
srr_v2_capacity12_proposal,Case2007,CenterB,C0+LGE+T2,True,5,myops_scar,0.5,0.4604758250191865,0.4788507581803671,1253,1303,4,2,0,53,0.008132388815283775,0.00022836103744339198,0.0019126329571008682,0.03860867768526077
srr_v2_capacity12_proposal,Case2008,CenterB,C0+LGE+T2,True,4,myops_edema,0.5,0.4174299195115182,0.603047313552526,2494,3603,2,1,0,19,0.008538498543202877,1.532451854302508e-08,0.0016115346224978566,0.07666383683681488
srr_v2_capacity12_proposal,Case2008,CenterB,C0+LGE+T2,True,5,myops_scar,0.5,0.15551181102362205,0.5543859649122806,285,1016,9,5,2,26,0.0012034717947244644,0.00011326467938488349,0.00048218632582575083,0.07666383683681488
srr_v2_capacity12_proposal,Case2017,CenterB,C0+LGE+T2,True,4,myops_edema,0.5,0.4767073722297603,0.559447983014862,1884,2211,12,10,5,220,0.005911065265536308,1.6216191056628304e-08,0.001061354181729257,0.053757306188344955
srr_v2_capacity12_proposal,Case2017,CenterB,C0+LGE+T2,True,5,myops_scar,0.5,0.654320987654321,0.31850961538461536,1664,810,11,8,6,159,0.005428995471447706,0.00014033503248356283,0.0010217243107035756,0.053757306188344955
srr_v2_capacity12_proposal,Case2020,CenterB,C0+LGE+T2,True,4,myops_edema,0.5,0.4583333333333333,0.5102481121898598,927,1032,2,0,1,89,0.006096031982451677,4.755254856547708e-09,0.0011962461285293102,0.04524021968245506
srr_v2_capacity12_proposal,Case2020,CenterB,C0+LGE+T2,True,5,myops_scar,0.5,0.3582887700534759,0.881578947368421,228,561,1,0,0,0,0.0016334070824086666,8.924986468628049e-05,0.0003552275593392551,0.04524021968245506
srr_v2_capacity12_proposal,Case2031,CenterB,C0+LGE+T2,True,4,myops_edema,0.5,0.2736156351791531,0.01981132075471698,4240,307,74,46,63,3713,0.022909002378582954,0.003414897480979562,0.006834506057202816,0.256458044052124
srr_v2_capacity12_proposal,Case2031,CenterB,C0+LGE+T2,True,5,myops_scar,0.5,0.05439814814814815,0.035127055306427506,1338,864,45,24,33,1221,0.008434723131358624,0.0021874425001442432,0.003461389569565654,0.256458044052124
srr_v2_capacity12_proposal,Case2033,CenterB,C0+LGE+T2,True,4,myops_edema,0.5,0.40138751238850345,0.18442622950819673,2196,1009,12,8,1,397,0.005698341876268387,1.064322407984264e-08,0.0012588885147124529,0.06380484253168106
srr_v2_capacity12_proposal,Case2033,CenterB,C0+LGE+T2,True,5,myops_scar,0.5,0.6327272727272727,0.4715447154471545,1476,1100,18,8,11,227,0.004076336044818163,7.711315993219614e-05,0.0011708023957908154,0.06380484253168106
srr_v2_capacity12_proposal,Case3004,CenterC,C0+LGE+T2,True,4,myops_edema,0.5,0.0,,0,3347,0,0,0,0,1.2436067453602817e-10,1.9009869633296317e-12,2.808466350104344e-12,0.019477158784866333
srr_v2_capacity12_proposal,Case3004,CenterC,C0+LGE+T2,True,5,myops_scar,0.5,0.4234737747205503,0.7237325495958854,1361,2326,2,1,1,97,0.001080083311535418,0.00046918648877181113,0.00024838707759045064,0.019477158784866333
srr_v2_capacity12_proposal,Case3011,CenterC,C0+LGE+T2,True,4,myops_edema,0.5,0.4827188940092166,0.028726175784999315,14586,868,129,75,116,11141,0.030013805255293846,0.006600209511816502,0.007481455337256193,0.17606918513774872
srr_v2_capacity12_proposal,Case3011,CenterC,C0+LGE+T2,True,5,myops_scar,0.5,0.18234165067178504,0.5555555555555556,1026,3126,19,8,12,369,0.0027261388022452593,0.0017849677242338657,0.001300106872804463,0.17606918513774872
srr_v2_capacity12_proposal,Case3012,CenterC,C0+LGE+T2,True,4,myops_edema,0.5,0.04887585532746823,0.42283298097251587,473,4092,14,6,0,0,0.00043418671702966094,1.1811366988634386e-11,0.0001250106142833829,0.02568102814257145
srr_v2_capacity12_proposal,Case3012,CenterC,C0+LGE+T2,True,5,myops_scar,0.5,0.14158977998580555,0.7762645914396887,514,2818,14,8,9,81,0.0005939772818237543,0.00036438798997551203,0.00038708007195964456,0.02568102814257145
srr_v2_capacity12_proposal,Case3023,CenterC,C0+LGE+T2,True,4,myops_edema,0.5,0.40445026178010474,0.016241787122207623,19025,764,181,107,157,16218,0.027707401663064957,0.006264171563088894,0.007682036608457565,0.186175137758255
srr_v2_capacity12_proposal,Case3023,CenterC,C0+LGE+T2,True,5,myops_scar,0.5,0.0,0.0,4360,1935,121,78,116,4188,0.007540691643953323,0.0015392731875181198,0.004648181144148111,0.186175137758255
srr_v2_capacity12_proposal,Case3026,CenterC,C0+LGE+T2,True,4,myops_edema,0.5,0.0,,0,1828,0,0,0,0,3.058466591099318e-09,1.1711330689945232e-12,2.9592209238593625e-10,0.004004657734185457
srr_v2_capacity12_proposal,Case3026,CenterC,C0+LGE+T2,True,5,myops_scar,0.5,0.016999770273374685,0.4539877300613497,163,4353,8,4,6,78,0.0003102762857452035,0.0005885909777134657,0.00019212078768759966,0.004004657734185457
srr_v2_capacity12_proposal,Case3034,CenterC,C0+LGE+T2,True,4,myops_edema,0.5,0.15947006869479882,0.019097426254554,17018,2038,110,56,79,15064,0.020294908434152603,0.00030715097091160715,0.0046335202641785145,0.13618528842926025
srr_v2_capacity12_proposal,Case3034,CenterC,C0+LGE+T2,True,5,myops_scar,0.5,0.5488322717622081,0.2454113924050633,6320,2826,78,41,68,4228,0.007843878120183945,0.00028110656421631575,0.0017830650322139263,0.13618528842926025
srr_v2_capacity12_proposal,Case3038,CenterC,C0+LGE+T2,True,4,myops_edema,0.5,0.14069400630914827,0.015404807957999447,14476,1585,207,129,165,8592,0.019161833450198174,0.0011036767391487956,0.005943918600678444,0.13525016605854034
srr_v2_capacity12_proposal,Case3038,CenterC,C0+LGE+T2,True,5,myops_scar,0.5,0.11967116852613036,0.2464328899637243,4135,8515,68,32,48,2878,0.005788382142782211,0.0005618431605398655,0.0018567151855677366,0.13525016605854034
srr_v2_capacity12_proposal,Case3040,CenterC,C0+LGE+T2,True,4,myops_edema,0.5,0.2006172839506173,0.004111582010247327,15809,324,141,76,133,12120,0.02157876454293728,0.000744320044759661,0.00587127823382616,0.13559861481189728
srr_v2_capacity12_proposal,Case3040,CenterC,C0+LGE+T2,True,5,myops_scar,0.5,0.42197566213314247,0.21254732287723094,5547,2794,102,63,98,4272,0.008226645179092884,0.0008138037519529462,0.003220183541998267,0.13559861481189728
srr_v2_capacity12_proposal,Case3044,CenterC,C0+LGE+T2,True,4,myops_edema,0.5,0.5817490494296578,0.00678041214269887,22565,263,142,84,131,17880,0.03034423105418682,0.005245895590633154,0.007024525664746761,0.1625422090291977
srr_v2_capacity12_proposal,Case3044,CenterC,C0+LGE+T2,True,5,myops_scar,0.5,0.14495761978896385,0.15654773024472257,5353,5781,117,69,102,4472,0.007965733297169209,0.0013036634773015976,0.0035426307003945112,0.1625422090291977
