variant,step,task,expert_index,mean_weight,batch_cases
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale0,0,0.11828378587961197,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale0,1,0.14591151475906372,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale0,2,0.13451482355594635,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale0,3,0.1478976011276245,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale0,4,0.1638365387916565,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale0,5,0.14080557227134705,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale0,6,0.14875023066997528,Case3009
srr_v2_capacity12_edema_t2_focus,1,scar_scale0,0,0.13677355647087097,Case3009
srr_v2_capacity12_edema_t2_focus,1,scar_scale0,1,0.1747388392686844,Case3009
srr_v2_capacity12_edema_t2_focus,1,scar_scale0,2,0.13014373183250427,Case3009
srr_v2_capacity12_edema_t2_focus,1,scar_scale0,3,0.12474415451288223,Case3009
srr_v2_capacity12_edema_t2_focus,1,scar_scale0,4,0.10888232290744781,Case3009
srr_v2_capacity12_edema_t2_focus,1,scar_scale0,5,0.14859458804130554,Case3009
srr_v2_capacity12_edema_t2_focus,1,scar_scale0,6,0.17612281441688538,Case3009
srr_v2_capacity12_edema_t2_focus,1,edema_scale0,0,0.12414247542619705,Case3009
srr_v2_capacity12_edema_t2_focus,1,edema_scale0,1,0.12465575337409973,Case3009
srr_v2_capacity12_edema_t2_focus,1,edema_scale0,2,0.1271635740995407,Case3009
srr_v2_capacity12_edema_t2_focus,1,edema_scale0,3,0.17776131629943848,Case3009
srr_v2_capacity12_edema_t2_focus,1,edema_scale0,4,0.14112435281276703,Case3009
srr_v2_capacity12_edema_t2_focus,1,edema_scale0,5,0.09372768551111221,Case3009
srr_v2_capacity12_edema_t2_focus,1,edema_scale0,6,0.2114248424768448,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale1,0,0.17658936977386475,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale1,1,0.10920610278844833,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale1,2,0.15296174585819244,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale1,3,0.12005078792572021,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale1,4,0.1178155243396759,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale1,5,0.12166329473257065,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale1,6,0.2017132043838501,Case3009
srr_v2_capacity12_edema_t2_focus,1,scar_scale1,0,0.09747634083032608,Case3009
srr_v2_capacity12_edema_t2_focus,1,scar_scale1,1,0.17924651503562927,Case3009
srr_v2_capacity12_edema_t2_focus,1,scar_scale1,2,0.16725873947143555,Case3009
srr_v2_capacity12_edema_t2_focus,1,scar_scale1,3,0.16280630230903625,Case3009
srr_v2_capacity12_edema_t2_focus,1,scar_scale1,4,0.12498383224010468,Case3009
srr_v2_capacity12_edema_t2_focus,1,scar_scale1,5,0.1292533129453659,Case3009
srr_v2_capacity12_edema_t2_focus,1,scar_scale1,6,0.13897499442100525,Case3009
srr_v2_capacity12_edema_t2_focus,1,edema_scale1,0,0.14234797656536102,Case3009
srr_v2_capacity12_edema_t2_focus,1,edema_scale1,1,0.1532033383846283,Case3009
srr_v2_capacity12_edema_t2_focus,1,edema_scale1,2,0.12252471596002579,Case3009
srr_v2_capacity12_edema_t2_focus,1,edema_scale1,3,0.17921942472457886,Case3009
srr_v2_capacity12_edema_t2_focus,1,edema_scale1,4,0.11347602307796478,Case3009
