variant,step,task,expert_index,mean_weight,batch_cases
srr_v2_edema_t2_focus,1,anatomy_scale0,0,0.1243891492486,Case2006
srr_v2_edema_t2_focus,1,anatomy_scale0,1,0.16591164469718933,Case2006
srr_v2_edema_t2_focus,1,anatomy_scale0,2,0.15699610114097595,Case2006
srr_v2_edema_t2_focus,1,anatomy_scale0,3,0.1578865647315979,Case2006
srr_v2_edema_t2_focus,1,anatomy_scale0,4,0.1283464878797531,Case2006
srr_v2_edema_t2_focus,1,anatomy_scale0,5,0.10810106992721558,Case2006
srr_v2_edema_t2_focus,1,anatomy_scale0,6,0.15836894512176514,Case2006
srr_v2_edema_t2_focus,1,scar_scale0,0,0.14669038355350494,Case2006
srr_v2_edema_t2_focus,1,scar_scale0,1,0.17724062502384186,Case2006
srr_v2_edema_t2_focus,1,scar_scale0,2,0.10817234963178635,Case2006
srr_v2_edema_t2_focus,1,scar_scale0,3,0.11941796541213989,Case2006
srr_v2_edema_t2_focus,1,scar_scale0,4,0.16237305104732513,Case2006
srr_v2_edema_t2_focus,1,scar_scale0,5,0.16268864274024963,Case2006
srr_v2_edema_t2_focus,1,scar_scale0,6,0.1234169527888298,Case2006
srr_v2_edema_t2_focus,1,edema_scale0,0,0.08318351209163666,Case2006
srr_v2_edema_t2_focus,1,edema_scale0,1,0.16292743384838104,Case2006
srr_v2_edema_t2_focus,1,edema_scale0,2,0.1350136697292328,Case2006
srr_v2_edema_t2_focus,1,edema_scale0,3,0.17767833173274994,Case2006
srr_v2_edema_t2_focus,1,edema_scale0,4,0.1490398645401001,Case2006
srr_v2_edema_t2_focus,1,edema_scale0,5,0.12394413352012634,Case2006
srr_v2_edema_t2_focus,1,edema_scale0,6,0.16821305453777313,Case2006
srr_v2_edema_t2_focus,1,anatomy_scale1,0,0.14456337690353394,Case2006
srr_v2_edema_t2_focus,1,anatomy_scale1,1,0.12453354150056839,Case2006
srr_v2_edema_t2_focus,1,anatomy_scale1,2,0.15346358716487885,Case2006
srr_v2_edema_t2_focus,1,anatomy_scale1,3,0.1087217628955841,Case2006
srr_v2_edema_t2_focus,1,anatomy_scale1,4,0.17564232647418976,Case2006
srr_v2_edema_t2_focus,1,anatomy_scale1,5,0.10666900128126144,Case2006
srr_v2_edema_t2_focus,1,anatomy_scale1,6,0.18640640377998352,Case2006
srr_v2_edema_t2_focus,1,scar_scale1,0,0.15523463487625122,Case2006
srr_v2_edema_t2_focus,1,scar_scale1,1,0.15260879695415497,Case2006
srr_v2_edema_t2_focus,1,scar_scale1,2,0.15522952377796173,Case2006
srr_v2_edema_t2_focus,1,scar_scale1,3,0.1457969844341278,Case2006
srr_v2_edema_t2_focus,1,scar_scale1,4,0.15784978866577148,Case2006
srr_v2_edema_t2_focus,1,scar_scale1,5,0.10825531929731369,Case2006
srr_v2_edema_t2_focus,1,scar_scale1,6,0.1250249296426773,Case2006
srr_v2_edema_t2_focus,1,edema_scale1,0,0.15254391729831696,Case2006
srr_v2_edema_t2_focus,1,edema_scale1,1,0.1337389200925827,Case2006
srr_v2_edema_t2_focus,1,edema_scale1,2,0.17013336718082428,Case2006
srr_v2_edema_t2_focus,1,edema_scale1,3,0.1315026879310608,Case2006
srr_v2_edema_t2_focus,1,edema_scale1,4,0.178461492061615,Case2006
srr_v2_edema_t2_focus,1,edema_scale1,5,0.13360261917114258,Case2006
srr_v2_edema_t2_focus,1,edema_scale1,6,0.1000169888138771,Case2006
srr_v2_edema_t2_focus,1,anatomy_scale2,0,0.10183034837245941,Case2006
srr_v2_edema_t2_focus,1,anatomy_scale2,1,0.16955482959747314,Case2006
srr_v2_edema_t2_focus,1,anatomy_scale2,2,0.1523759365081787,Case2006
srr_v2_edema_t2_focus,1,anatomy_scale2,3,0.1518797129392624,Case2006
srr_v2_edema_t2_focus,1,anatomy_scale2,4,0.10397332161664963,Case2006
srr_v2_edema_t2_focus,1,anatomy_scale2,5,0.1860835999250412,Case2006
srr_v2_edema_t2_focus,1,anatomy_scale2,6,0.13430224359035492,Case2006
srr_v2_edema_t2_focus,1,scar_scale2,0,0.12055359780788422,Case2006
srr_v2_edema_t2_focus,1,scar_scale2,1,0.20165187120437622,Case2006
srr_v2_edema_t2_focus,1,scar_scale2,2,0.11511696130037308,Case2006
srr_v2_edema_t2_focus,1,scar_scale2,3,0.15394379198551178,Case2006
srr_v2_edema_t2_focus,1,scar_scale2,4,0.12140115350484848,Case2006
srr_v2_edema_t2_focus,1,scar_scale2,5,0.15538260340690613,Case2006
srr_v2_edema_t2_focus,1,scar_scale2,6,0.13195005059242249,Case2006
srr_v2_edema_t2_focus,1,edema_scale2,0,0.17414729297161102,Case2006
srr_v2_edema_t2_focus,1,edema_scale2,1,0.14219433069229126,Case2006
srr_v2_edema_t2_focus,1,edema_scale2,2,0.13245370984077454,Case2006
srr_v2_edema_t2_focus,1,edema_scale2,3,0.16134241223335266,Case2006
srr_v2_edema_t2_focus,1,edema_scale2,4,0.11807355284690857,Case2006
srr_v2_edema_t2_focus,1,edema_scale2,5,0.153981551527977,Case2006
srr_v2_edema_t2_focus,1,edema_scale2,6,0.11780719459056854,Case2006
srr_v2_edema_t2_focus,2,anatomy_scale0,0,0.12389478832483292,Case3042
srr_v2_edema_t2_focus,2,anatomy_scale0,1,0.16811402142047882,Case3042
srr_v2_edema_t2_focus,2,anatomy_scale0,2,0.15713512897491455,Case3042
srr_v2_edema_t2_focus,2,anatomy_scale0,3,0.15793536603450775,Case3042
srr_v2_edema_t2_focus,2,anatomy_scale0,4,0.12804119288921356,Case3042
srr_v2_edema_t2_focus,2,anatomy_scale0,5,0.10809995234012604,Case3042
srr_v2_edema_t2_focus,2,anatomy_scale0,6,0.15677955746650696,Case3042
srr_v2_edema_t2_focus,2,scar_scale0,0,0.14844875037670135,Case3042
srr_v2_edema_t2_focus,2,scar_scale0,1,0.17839494347572327,Case3042
srr_v2_edema_t2_focus,2,scar_scale0,2,0.10889804363250732,Case3042
srr_v2_edema_t2_focus,2,scar_scale0,3,0.1171204224228859,Case3042
srr_v2_edema_t2_focus,2,scar_scale0,4,0.16298741102218628,Case3042
srr_v2_edema_t2_focus,2,scar_scale0,5,0.16159261763095856,Case3042
srr_v2_edema_t2_focus,2,scar_scale0,6,0.1225578635931015,Case3042
