variant,step,task,expert_index,mean_weight,batch_cases
srr_v2_scar_precision_nointeract,1,anatomy_scale0,0,0.503555953502655,Case1030
srr_v2_scar_precision_nointeract,1,anatomy_scale0,1,0.49644407629966736,Case1030
srr_v2_scar_precision_nointeract,1,anatomy_scale0,2,0.0,Case1030
srr_v2_scar_precision_nointeract,1,anatomy_scale0,3,0.0,Case1030
srr_v2_scar_precision_nointeract,1,scar_scale0,0,0.49975845217704773,Case1030
srr_v2_scar_precision_nointeract,1,scar_scale0,1,0.5002415776252747,Case1030
srr_v2_scar_precision_nointeract,1,scar_scale0,2,0.0,Case1030
srr_v2_scar_precision_nointeract,1,scar_scale0,3,0.0,Case1030
srr_v2_scar_precision_nointeract,1,edema_scale0,0,0.4630887806415558,Case1030
srr_v2_scar_precision_nointeract,1,edema_scale0,1,0.5369112491607666,Case1030
srr_v2_scar_precision_nointeract,1,edema_scale0,2,0.0,Case1030
srr_v2_scar_precision_nointeract,1,edema_scale0,3,0.0,Case1030
srr_v2_scar_precision_nointeract,1,anatomy_scale1,0,0.6047765016555786,Case1030
srr_v2_scar_precision_nointeract,1,anatomy_scale1,1,0.39522355794906616,Case1030
srr_v2_scar_precision_nointeract,1,anatomy_scale1,2,0.0,Case1030
srr_v2_scar_precision_nointeract,1,anatomy_scale1,3,0.0,Case1030
srr_v2_scar_precision_nointeract,1,scar_scale1,0,0.436530202627182,Case1030
srr_v2_scar_precision_nointeract,1,scar_scale1,1,0.5634698271751404,Case1030
srr_v2_scar_precision_nointeract,1,scar_scale1,2,0.0,Case1030
srr_v2_scar_precision_nointeract,1,scar_scale1,3,0.0,Case1030
srr_v2_scar_precision_nointeract,1,edema_scale1,0,0.5478081107139587,Case1030
srr_v2_scar_precision_nointeract,1,edema_scale1,1,0.45219191908836365,Case1030
srr_v2_scar_precision_nointeract,1,edema_scale1,2,0.0,Case1030
srr_v2_scar_precision_nointeract,1,edema_scale1,3,0.0,Case1030
srr_v2_scar_precision_nointeract,1,anatomy_scale2,0,0.4913441836833954,Case1030
srr_v2_scar_precision_nointeract,1,anatomy_scale2,1,0.508655846118927,Case1030
srr_v2_scar_precision_nointeract,1,anatomy_scale2,2,0.0,Case1030
srr_v2_scar_precision_nointeract,1,anatomy_scale2,3,0.0,Case1030
srr_v2_scar_precision_nointeract,1,scar_scale2,0,0.5503120422363281,Case1030
srr_v2_scar_precision_nointeract,1,scar_scale2,1,0.44968801736831665,Case1030
srr_v2_scar_precision_nointeract,1,scar_scale2,2,0.0,Case1030
srr_v2_scar_precision_nointeract,1,scar_scale2,3,0.0,Case1030
srr_v2_scar_precision_nointeract,1,edema_scale2,0,0.41128769516944885,Case1030
srr_v2_scar_precision_nointeract,1,edema_scale2,1,0.5887123346328735,Case1030
srr_v2_scar_precision_nointeract,1,edema_scale2,2,0.0,Case1030
srr_v2_scar_precision_nointeract,1,edema_scale2,3,0.0,Case1030
srr_v2_scar_precision_nointeract,2,anatomy_scale0,0,0.3123331069946289,Case6006
srr_v2_scar_precision_nointeract,2,anatomy_scale0,1,0.3117116689682007,Case6006
srr_v2_scar_precision_nointeract,2,anatomy_scale0,2,0.0,Case6006
srr_v2_scar_precision_nointeract,2,anatomy_scale0,3,0.3759552836418152,Case6006
srr_v2_scar_precision_nointeract,2,scar_scale0,0,0.30705296993255615,Case6006
srr_v2_scar_precision_nointeract,2,scar_scale0,1,0.32629331946372986,Case6006
srr_v2_scar_precision_nointeract,2,scar_scale0,2,0.0,Case6006
srr_v2_scar_precision_nointeract,2,scar_scale0,3,0.3666536808013916,Case6006
srr_v2_scar_precision_nointeract,2,edema_scale0,0,0.23020948469638824,Case6006
srr_v2_scar_precision_nointeract,2,edema_scale0,1,0.2829040288925171,Case6006
srr_v2_scar_precision_nointeract,2,edema_scale0,2,0.0,Case6006
srr_v2_scar_precision_nointeract,2,edema_scale0,3,0.48688653111457825,Case6006
srr_v2_scar_precision_nointeract,2,anatomy_scale1,0,0.376632422208786,Case6006
srr_v2_scar_precision_nointeract,2,anatomy_scale1,1,0.2561025321483612,Case6006
srr_v2_scar_precision_nointeract,2,anatomy_scale1,2,0.0,Case6006
srr_v2_scar_precision_nointeract,2,anatomy_scale1,3,0.36726507544517517,Case6006
srr_v2_scar_precision_nointeract,2,scar_scale1,0,0.27589115500450134,Case6006
srr_v2_scar_precision_nointeract,2,scar_scale1,1,0.3657156229019165,Case6006
srr_v2_scar_precision_nointeract,2,scar_scale1,2,0.0,Case6006
srr_v2_scar_precision_nointeract,2,scar_scale1,3,0.35839322209358215,Case6006
srr_v2_scar_precision_nointeract,2,edema_scale1,0,0.29705381393432617,Case6006
srr_v2_scar_precision_nointeract,2,edema_scale1,1,0.27200931310653687,Case6006
srr_v2_scar_precision_nointeract,2,edema_scale1,2,0.0,Case6006
srr_v2_scar_precision_nointeract,2,edema_scale1,3,0.43093690276145935,Case6006
srr_v2_scar_precision_nointeract,2,anatomy_scale2,0,0.39397895336151123,Case6006
srr_v2_scar_precision_nointeract,2,anatomy_scale2,1,0.35055696964263916,Case6006
srr_v2_scar_precision_nointeract,2,anatomy_scale2,2,0.0,Case6006
srr_v2_scar_precision_nointeract,2,anatomy_scale2,3,0.2554640471935272,Case6006
srr_v2_scar_precision_nointeract,2,scar_scale2,0,0.3906877338886261,Case6006
srr_v2_scar_precision_nointeract,2,scar_scale2,1,0.31382688879966736,Case6006
srr_v2_scar_precision_nointeract,2,scar_scale2,2,0.0,Case6006
srr_v2_scar_precision_nointeract,2,scar_scale2,3,0.29548540711402893,Case6006
srr_v2_scar_precision_nointeract,2,edema_scale2,0,0.2670230567455292,Case6006
srr_v2_scar_precision_nointeract,2,edema_scale2,1,0.4195420444011688,Case6006
srr_v2_scar_precision_nointeract,2,edema_scale2,2,0.0,Case6006
srr_v2_scar_precision_nointeract,2,edema_scale2,3,0.313434898853302,Case6006
