box_ends_zyx,box_shape_zyx,box_starts_zyx,case_id,center,checkpoint,class_id,empty_proposal,gt_coverage,gt_voxels,metric_name,modality_group,proposal_coverage,proposal_voxels,restoration_valid,roi_source,roi_volume_ratio,roi_voxels,t2_present,variant
9x224x256,9x224x208,0x0x48,Case1002,CenterA,checkpoint_best,4,False,,0,myops_edema,LGE-only,1.0,258,True,proposal_plus_anatomy,0.7109375,419328,False,proposal_pos_neg_basic
9x256x256,9x256x229,0x0x27,Case1002,CenterA,checkpoint_best,5,False,1.0,2062,myops_scar,LGE-only,1.0,3964,True,proposal_plus_anatomy,0.89453125,527616,False,proposal_pos_neg_basic
24x216x250,24x177x250,0x39x0,Case1007,CenterA,checkpoint_best,4,False,,0,myops_edema,LGE-only,1.0,218,True,proposal_plus_anatomy,0.675201416015625,1062000,False,proposal_pos_neg_basic
24x256x256,24x248x256,0x8x0,Case1007,CenterA,checkpoint_best,5,False,1.0,2509,myops_scar,LGE-only,1.0,27759,True,proposal_plus_anatomy,0.96875,1523712,False,proposal_pos_neg_basic
16x241x256,16x227x196,0x14x60,Case1009,CenterA,checkpoint_best,4,False,,0,myops_edema,LGE-only,1.0,202,True,proposal_plus_anatomy,0.67889404296875,711872,False,proposal_pos_neg_basic
16x256x256,16x246x256,0x10x0,Case1009,CenterA,checkpoint_best,5,False,1.0,4090,myops_scar,LGE-only,1.0,17467,True,proposal_plus_anatomy,0.9609375,1007616,False,proposal_pos_neg_basic
12x256x256,12x185x256,0x71x0,Case1010,CenterA,checkpoint_best,4,False,,0,myops_edema,LGE-only,1.0,91,True,proposal_plus_anatomy,0.72265625,568320,False,proposal_pos_neg_basic
12x256x256,12x223x256,0x33x0,Case1010,CenterA,checkpoint_best,5,False,1.0,2012,myops_scar,LGE-only,1.0,6189,True,proposal_plus_anatomy,0.87109375,685056,False,proposal_pos_neg_basic
12x256x256,12x206x240,0x50x16,Case1021,CenterA,checkpoint_best,4,False,,0,myops_edema,LGE-only,1.0,56,True,proposal_plus_anatomy,0.75439453125,593280,False,proposal_pos_neg_basic
12x256x256,12x209x256,0x47x0,Case1021,CenterA,checkpoint_best,5,False,1.0,1766,myops_scar,LGE-only,1.0,8241,True,proposal_plus_anatomy,0.81640625,642048,False,proposal_pos_neg_basic
21x250x256,21x250x199,0x0x57,Case1023,CenterA,checkpoint_best,4,False,,0,myops_edema,LGE-only,1.0,892,True,proposal_plus_anatomy,0.759124755859375,1044750,False,proposal_pos_neg_basic
21x256x256,21x256x214,0x0x42,Case1023,CenterA,checkpoint_best,5,False,1.0,2380,myops_scar,LGE-only,1.0,49334,True,proposal_plus_anatomy,0.8359375,1150464,False,proposal_pos_neg_basic
