case_id,method,frame0_myo_dice,temporal_myo_proxy_dice,myo_dice_delta_vs_frame0,frame0_lv_dice,warped_lv_dice,hosted_metric_caveat
Case1001,ANTsPy_SyNOnly,0.6624609618988132,0.8324528721570372,0.16999191025822402,0.767775651405859,0.790013729315702,no hosted metric claim
Case1001,ANTsPy_SyNOnly,0.7499194120301721,0.8768908678088049,0.12697145577863278,0.8538918881979088,0.8780035130746031,no hosted metric claim
Case1002,ANTsPy_SyNOnly,0.6104122461351925,0.7889575009081002,0.17854525477290772,0.7641048787493332,0.7641048787493332,no hosted metric claim
Case1002,ANTsPy_SyNOnly,0.7921645445641528,0.8715639983895173,0.07939945382536451,0.8973375698477046,0.8973375698477046,no hosted metric claim
Case1003,ANTsPy_SyNOnly,0.608413948256468,0.8212965433133884,0.21288259505692042,0.49448785186770844,0.49448785186770844,no hosted metric claim
Case1003,ANTsPy_SyNOnly,0.770304512113803,0.8720897043832824,0.10178519226947935,0.7632490474541046,0.7632490474541046,no hosted metric claim
Case1004,ANTsPy_SyNOnly,0.7213228035538006,0.8202022042080335,0.09887940065423284,0.8151867998454831,0.8151867998454831,no hosted metric claim
Case1004,ANTsPy_SyNOnly,0.774356896900952,0.8534887025721188,0.07913180567116684,0.8561840843720039,0.8561840843720039,no hosted metric claim
Case1005,ANTsPy_SyNOnly,0.5731372475269869,0.7732505497348338,0.20011330220784684,0.6689586447433981,0.6689586447433981,no hosted metric claim
Case1005,ANTsPy_SyNOnly,0.6602484237550497,0.8076742154425106,0.14742579168746095,0.7581042742198038,0.7581042742198038,no hosted metric claim
Case1006,ANTsPy_SyNOnly,0.5357664233576642,0.7933425049229856,0.2575760815653214,0.7230637128627855,0.7554901895243507,no hosted metric claim
Case1006,ANTsPy_SyNOnly,0.6247833895207788,0.8269690400755934,0.20218565055481452,0.7838945539198007,0.8191874880793439,no hosted metric claim
Case1007,ANTsPy_SyNOnly,0.5146070741453308,0.7502635939147462,0.23565651976941537,0.6006069402295817,0.6165348170042597,no hosted metric claim
Case1007,ANTsPy_SyNOnly,0.5845141237773105,0.8026388999284636,0.2181247761511531,0.7038123167155426,0.7414487716249308,no hosted metric claim
Case1008,ANTsPy_SyNOnly,0.655098645115284,0.8006783014201936,0.14557965630490954,0.6212055819306574,0.6212055819306574,no hosted metric claim
Case1008,ANTsPy_SyNOnly,0.937641132534306,0.9456081372295492,0.00796700469524314,0.9610753581067054,0.9610753581067054,no hosted metric claim
Case1010,ANTsPy_SyNOnly,0.5331640471082703,0.7933711555688265,0.2602071084605563,0.7372392365734576,0.7822037844473606,no hosted metric claim
Case1010,ANTsPy_SyNOnly,0.6523710977059575,0.8493765972276001,0.1970054995216426,0.8257425742574257,0.8530950656041214,no hosted metric claim
Case1011,ANTsPy_SyNOnly,0.5370194667102896,0.7606086643199645,0.223589197609675,0.6162604518768903,0.6162604518768903,no hosted metric claim
Case1011,ANTsPy_SyNOnly,0.7190357155086806,0.842932261057841,0.12389654554916041,0.8253321256038647,0.8253321256038647,no hosted metric claim
Case1012,ANTsPy_SyNOnly,0.4751124041258926,0.778836785699157,0.3037243815732644,0.5537350735906693,0.5537350735906693,no hosted metric claim
Case1012,ANTsPy_SyNOnly,0.6285036653730056,0.8457630194157141,0.21725935404270846,0.7940412263987529,0.7940412263987529,no hosted metric claim
Case1013,ANTsPy_SyNOnly,0.661160525201186,0.8272180734909552,0.16605754828976926,0.7003532911863146,0.7286012526096033,no hosted metric claim
Case1013,ANTsPy_SyNOnly,0.72065880313303,0.8526771809610103,0.13201837782798032,0.7792887029288703,0.8050181633859931,no hosted metric claim
