case_id,changed_voxels_vs_standard_nnunet,dice_delta_vs_standard_nnunet,help_harm,pathology,seed,variant
Case1002,0,,identity,edema,20260724,student_moddrop_control
Case1002,1778,-0.24207782452121773,harm_or_neutral,scar,20260724,student_moddrop_control
Case1007,0,,identity,edema,20260724,student_moddrop_control
Case1007,4519,-0.190923361607498,harm_or_neutral,scar,20260724,student_moddrop_control
Case1009,0,,identity,edema,20260724,student_moddrop_control
Case1009,3385,-0.20690352924438266,harm_or_neutral,scar,20260724,student_moddrop_control
Case1010,0,,identity,edema,20260724,student_moddrop_control
Case1010,2157,-0.46275893706462645,harm_or_neutral,scar,20260724,student_moddrop_control
Case1021,0,,identity,edema,20260724,student_moddrop_control
Case1021,1537,-0.5699192044748291,harm_or_neutral,scar,20260724,student_moddrop_control
Case1023,0,,identity,edema,20260724,student_moddrop_control
Case1023,2605,-0.3609579517765634,harm_or_neutral,scar,20260724,student_moddrop_control
Case1029,0,,identity,edema,20260724,student_moddrop_control
Case1029,5040,0.009544393260554035,help,scar,20260724,student_moddrop_control
Case1033,0,,identity,edema,20260724,student_moddrop_control
Case1033,6609,-0.5424191940578353,harm_or_neutral,scar,20260724,student_moddrop_control
Case1040,0,,identity,edema,20260724,student_moddrop_control
Case1040,2906,-0.4280078895463511,harm_or_neutral,scar,20260724,student_moddrop_control
Case1042,0,,identity,edema,20260724,student_moddrop_control
Case1042,950,-0.2573770491803279,harm_or_neutral,scar,20260724,student_moddrop_control
Case1045,0,,identity,edema,20260724,student_moddrop_control
Case1045,1212,0.07724127496197107,help,scar,20260724,student_moddrop_control
Case1047,0,,identity,edema,20260724,student_moddrop_control
Case1047,8296,-0.23191908582850168,harm_or_neutral,scar,20260724,student_moddrop_control
Case1053,0,,identity,edema,20260724,student_moddrop_control
Case1053,1890,-0.5168755904905664,harm_or_neutral,scar,20260724,student_moddrop_control
Case1062,0,,identity,edema,20260724,student_moddrop_control
Case1062,9323,-0.5070823546159869,harm_or_neutral,scar,20260724,student_moddrop_control
Case1070,0,,identity,edema,20260724,student_moddrop_control
Case1070,5703,-0.4587833783378337,harm_or_neutral,scar,20260724,student_moddrop_control
Case1073,0,,identity,edema,20260724,student_moddrop_control
Case1073,1875,-0.18903897930827726,harm_or_neutral,scar,20260724,student_moddrop_control
Case1080,0,,identity,edema,20260724,student_moddrop_control
Case1080,2277,-0.3208663808813065,harm_or_neutral,scar,20260724,student_moddrop_control
Case2002,2819,-0.21326738994224198,harm_or_neutral,edema,20260724,student_moddrop_control
Case2002,1076,-0.5602700096432015,harm_or_neutral,scar,20260724,student_moddrop_control
Case2007,2584,-0.13638520711561408,harm_or_neutral,edema,20260724,student_moddrop_control
Case2007,820,-0.4898728214790391,harm_or_neutral,scar,20260724,student_moddrop_control
Case2008,3688,0.19788801661171923,help,edema,20260724,student_moddrop_control
Case2008,1042,-0.7531584062196307,harm_or_neutral,scar,20260724,student_moddrop_control
Case2017,4209,-0.18816379745092554,harm_or_neutral,edema,20260724,student_moddrop_control
Case2017,1230,-0.5470588235294118,harm_or_neutral,scar,20260724,student_moddrop_control
Case2020,1116,-0.04972946860606309,harm_or_neutral,edema,20260724,student_moddrop_control
Case2020,173,-0.4196185286103542,harm_or_neutral,scar,20260724,student_moddrop_control
Case2031,1830,-0.2255870544795769,harm_or_neutral,edema,20260724,student_moddrop_control
Case2031,858,-0.8013937282229965,harm_or_neutral,scar,20260724,student_moddrop_control
Case2033,4111,-0.23320864314266437,harm_or_neutral,edema,20260724,student_moddrop_control
Case2033,1125,-0.7208988764044943,harm_or_neutral,scar,20260724,student_moddrop_control
Case3004,8992,-0.02718967333248673,harm_or_neutral,edema,20260724,student_moddrop_control
Case3004,2742,-0.6247040252565115,harm_or_neutral,scar,20260724,student_moddrop_control
Case3011,6272,-0.10055637156718741,harm_or_neutral,edema,20260724,student_moddrop_control
Case3011,2455,-0.6389535925461387,harm_or_neutral,scar,20260724,student_moddrop_control
Case3012,8826,-0.16393532932873323,harm_or_neutral,edema,20260724,student_moddrop_control
Case3012,2514,-0.8267066766691673,harm_or_neutral,scar,20260724,student_moddrop_control
Case3023,4476,-0.07717207677710791,harm_or_neutral,edema,20260724,student_moddrop_control
Case3023,2635,-0.6612691466083152,harm_or_neutral,scar,20260724,student_moddrop_control
Case3026,11545,-0.03146471910383833,harm_or_neutral,edema,20260724,student_moddrop_control
Case3026,3232,-0.8081740276862228,harm_or_neutral,scar,20260724,student_moddrop_control
Case3034,10700,-0.4333538898081919,harm_or_neutral,edema,20260724,student_moddrop_control
Case3034,3545,-0.8293831423638361,harm_or_neutral,scar,20260724,student_moddrop_control
Case3038,8543,-0.1063147715779435,harm_or_neutral,edema,20260724,student_moddrop_control
Case3038,7687,-0.75830144426614,harm_or_neutral,scar,20260724,student_moddrop_control
Case3040,9586,-0.19131393570448238,harm_or_neutral,edema,20260724,student_moddrop_control
Case3040,2280,-0.8691367757193535,harm_or_neutral,scar,20260724,student_moddrop_control
Case3044,9777,-0.14859851300275395,harm_or_neutral,edema,20260724,student_moddrop_control
Case3044,4022,-0.7844537386514332,harm_or_neutral,scar,20260724,student_moddrop_control
Case5005,0,,identity,edema,20260724,student_moddrop_control
Case5005,2592,-0.5351490896344073,harm_or_neutral,scar,20260724,student_moddrop_control
Case6001,0,,identity,edema,20260724,student_moddrop_control
Case6001,1478,-0.3303371209979837,harm_or_neutral,scar,20260724,student_moddrop_control
Case6010,0,,identity,edema,20260724,student_moddrop_control
Case6010,1424,-0.43838283543676093,harm_or_neutral,scar,20260724,student_moddrop_control
Case7005,0,,identity,edema,20260724,student_moddrop_control
Case7005,156,0.0,harm_or_neutral,scar,20260724,student_moddrop_control
Case8003,0,,identity,edema,20260724,student_moddrop_control
Case8003,1540,-0.3799482673382262,harm_or_neutral,scar,20260724,student_moddrop_control
Case8011,0,,identity,edema,20260724,student_moddrop_control
Case8011,140,-0.22406639004149378,harm_or_neutral,scar,20260724,student_moddrop_control
Case8015,0,,identity,edema,20260724,student_moddrop_control
Case8015,1215,-0.09762351746215514,harm_or_neutral,scar,20260724,student_moddrop_control
Case8019,0,,identity,edema,20260724,student_moddrop_control
Case8019,707,-0.6464310438378207,harm_or_neutral,scar,20260724,student_moddrop_control
Case8021,0,,identity,edema,20260724,student_moddrop_control
Case8021,536,0.0,harm_or_neutral,scar,20260724,student_moddrop_control
Case8022,0,,identity,edema,20260724,student_moddrop_control
Case8022,1118,-0.4550624820093999,harm_or_neutral,scar,20260724,student_moddrop_control
Case8023,0,,identity,edema,20260724,student_moddrop_control
Case8023,1813,-0.05713449982727009,harm_or_neutral,scar,20260724,student_moddrop_control
