case_id,center,class_id,complete_trimodal,component_count,dice,empty_prediction,gt_positive,gt_volume_mm3,hd95,modality_group,no_t2_edema_predicted_voxels,pathology,precision,pred_volume_mm3,prediction_positive,recall,remote_fp_volume_mm3,seed,source_prefix,variant,volume_ratio
Case1021,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch050_2d9cfeb3,student_direct_reliable_legacy,
Case1021,CenterA,5,0,10,0.48868548182049326,0,1,29709.635178720408,17.7155229401913,LGE-only,0,scar,0.44347023534840796,36455.70749280132,1,0.5441676104190261,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch050_2d9cfeb3,student_direct_reliable_legacy,1.227066817667044
Case1029,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch050_2d9cfeb3,student_direct_reliable_legacy,
Case1029,CenterA,5,0,14,0.09244851258581235,0,1,5159.259845473123,61.69785738605049,LGE-only,0,scar,0.04954015941140405,71920.96417065525,1,0.6905982905982906,440.9623799549678,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch050_2d9cfeb3,student_direct_reliable_legacy,13.94017094017094
Case1033,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch050_2d9cfeb3,student_direct_reliable_legacy,
Case1033,CenterA,5,0,6,0.5810147299509002,0,1,35991.34945192447,5.312399864196777,LGE-only,0,scar,0.4361715198427325,71779.85620906965,1,0.869884832148983,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch050_2d9cfeb3,student_direct_reliable_legacy,1.9943641264395982
Case1045,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch050_2d9cfeb3,student_direct_reliable_legacy,
Case1045,CenterA,5,0,23,0.21982758620689655,0,1,40984.048370752644,53.44340161760886,LGE-only,0,scar,0.18345323741007194,61255.72821004965,1,0.27419354838709675,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch050_2d9cfeb3,student_direct_reliable_legacy,1.4946236559139785
Case1047,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch050_2d9cfeb3,student_direct_reliable_legacy,
Case1047,CenterA,5,0,17,0.5433734939759036,0,1,70019.66121200379,12.337840209018454,LGE-only,0,scar,0.5486618004866181,68682.77030580802,1,0.5381861575178998,219.33366429774458,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch050_2d9cfeb3,student_direct_reliable_legacy,0.9809069212410502
Case1053,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch050_2d9cfeb3,student_direct_reliable_legacy,
Case1053,CenterA,5,0,15,0.049049662783568364,0,1,33356.93359375,52.82547917435298,LGE-only,0,scar,0.03618272274988693,70173.33984375,1,0.07611798287345385,253.90625,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch050_2d9cfeb3,student_direct_reliable_legacy,2.103710751665081
Case1062,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch050_2d9cfeb3,student_direct_reliable_legacy,
Case1062,CenterA,5,0,12,0.33170169881946443,0,1,41679.76415334355,26.373357404638394,LGE-only,0,scar,0.2513637355444032,80837.22349334469,1,0.4875158696572154,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch050_2d9cfeb3,student_direct_reliable_legacy,1.9394837071519255
Case1073,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch050_2d9cfeb3,student_direct_reliable_legacy,
Case1073,CenterA,5,0,10,0.39232127096204766,0,1,43159.72199943783,18.610827885366135,LGE-only,0,scar,0.3810544363480497,45789.73689162731,1,0.40427467030468395,1668.293028627656,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch050_2d9cfeb3,student_direct_reliable_legacy,1.06093678944975
Case1080,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch050_2d9cfeb3,student_direct_reliable_legacy,
Case1080,CenterA,5,0,9,0.44790343074968236,0,1,33545.22324711496,21.518485229841673,LGE-only,0,scar,0.39965986394557823,42755.61691323034,1,0.509393063583815,5356.571053188155,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch050_2d9cfeb3,student_direct_reliable_legacy,1.2745664739884393
