case_id,center,class_id,complete_trimodal,component_count,dice,empty_prediction,gt_positive,gt_volume_mm3,hd95,modality_group,no_t2_edema_predicted_voxels,pathology,precision,pred_volume_mm3,prediction_positive,recall,remote_fp_volume_mm3,seed,source_prefix,variant,volume_ratio
Case1021,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch175_761886e1,student_direct_reliable_legacy,
Case1021,CenterA,5,0,5,0.5585535465924896,0,1,29709.635178720408,11.301809463994628,LGE-only,0,scar,0.5489338436303991,30769.491926319155,1,0.5685164212910532,252.34684466636816,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch175_761886e1,student_direct_reliable_legacy,1.0356738391845979
Case1029,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch175_761886e1,student_direct_reliable_legacy,
Case1029,CenterA,5,0,14,0.14721576139006703,0,1,5159.259845473123,55.86328578275909,LGE-only,0,scar,0.08001189767995241,59300.62085634407,1,0.9196581196581196,970.1172359009291,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch175_761886e1,student_direct_reliable_legacy,11.494017094017094
Case1033,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch175_761886e1,student_direct_reliable_legacy,
Case1033,CenterA,5,0,4,0.625065274151436,0,1,35991.34945192447,5.661748676802908,LGE-only,0,scar,0.48468079362936967,65341.80546172713,1,0.8799313893653516,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch175_761886e1,student_direct_reliable_legacy,1.8154864003920608
Case1045,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch175_761886e1,student_direct_reliable_legacy,
Case1045,CenterA,5,0,11,0.20178799489144317,0,1,40984.048370752644,56.41748095032602,LGE-only,0,scar,0.1922141119221411,45280.76311929929,1,0.21236559139784947,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch175_761886e1,student_direct_reliable_legacy,1.1048387096774193
Case1047,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch175_761886e1,student_direct_reliable_legacy,
Case1047,CenterA,5,0,2,0.5486666666666666,0,1,70019.66121200379,10.21850795830496,LGE-only,0,scar,0.6216012084592145,55313.86124385025,1,0.49105011933174225,114.88906225119955,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch175_761886e1,student_direct_reliable_legacy,0.7899761336515513
Case1053,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch175_761886e1,student_direct_reliable_legacy,
Case1053,CenterA,5,0,9,0.3982089552238806,0,1,33356.93359375,49.88024368355357,LGE-only,0,scar,0.29012614180078294,72966.30859375,1,0.6346336822074216,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch175_761886e1,student_direct_reliable_legacy,2.18744053282588
