case_id,center,class_id,complete_trimodal,component_count,dice,empty_prediction,gt_positive,gt_volume_mm3,hd95,modality_group,no_t2_edema_predicted_voxels,pathology,precision,pred_volume_mm3,prediction_positive,recall,remote_fp_volume_mm3,seed,source_prefix,variant,volume_ratio
Case1021,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch275_04b58946,student_direct_reliable_legacy,
Case1021,CenterA,5,0,11,0.5488203266787659,0,1,29709.635178720408,13.137448703399741,LGE-only,0,scar,0.7644084934277048,16638.06862500254,1,0.42808607021517553,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch275_04b58946,student_direct_reliable_legacy,0.5600226500566251
Case1029,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch275_04b58946,student_direct_reliable_legacy,
Case1029,CenterA,5,0,15,0.16594491598822103,0,1,5159.259845473123,54.22748027225624,LGE-only,0,scar,0.09232845026985351,45754.25654412746,1,0.8188034188034188,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch275_04b58946,student_direct_reliable_legacy,8.868376068376069
Case1033,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch275_04b58946,student_direct_reliable_legacy,
Case1033,CenterA,5,0,5,0.6091202031051655,0,1,35991.34945192447,5.8154318497510875,LGE-only,0,scar,0.5063311688311688,54326.565210452034,1,0.7642734623866699,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch275_04b58946,student_direct_reliable_legacy,1.509433962264151
Case1045,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch275_04b58946,student_direct_reliable_legacy,
Case1045,CenterA,5,0,10,0.11931581143095536,0,1,40984.048370752644,59.142373911223686,LGE-only,0,scar,0.1573157315731573,25036.6263232622,1,0.0961021505376344,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch275_04b58946,student_direct_reliable_legacy,0.6108870967741935
Case1047,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch275_04b58946,student_direct_reliable_legacy,
Case1047,CenterA,5,0,5,0.5273751269504201,0,1,70019.66121200379,13.860424354054679,LGE-only,0,scar,0.6920281075842016,43104.28726460914,1,0.42601431980906923,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch275_04b58946,student_direct_reliable_legacy,0.6156026252983293
Case1053,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch275_04b58946,student_direct_reliable_legacy,
Case1053,CenterA,5,0,23,0.4063297600816743,0,1,33356.93359375,48.669878227747105,LGE-only,0,scar,0.43832599118942733,28818.359375,1,0.3786869647954329,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch275_04b58946,student_direct_reliable_legacy,0.8639391056137012
Case1062,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch275_04b58946,student_direct_reliable_legacy,
Case1062,CenterA,5,0,2,0.4473647025575809,0,1,41679.76415334355,25.14071196444682,LGE-only,0,scar,0.3358082308018668,83147.86636430872,1,0.6699111299195938,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch275_04b58946,student_direct_reliable_legacy,1.9949217096910707
Case1073,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch275_04b58946,student_direct_reliable_legacy,
Case1073,CenterA,5,0,14,0.43162393162393164,0,1,43159.72199943783,15.588478605504784,LGE-only,0,scar,0.5229773462783172,30323.679167408573,1,0.36743974533879037,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch275_04b58946,student_direct_reliable_legacy,0.7025920873124147
Case1080,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch275_04b58946,student_direct_reliable_legacy,
Case1080,CenterA,5,0,7,0.5854545454545454,0,1,33545.22324711496,11.0,LGE-only,0,scar,0.5893118594436311,33108.94144187792,1,0.5816473988439307,2326.8362945975696,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch275_04b58946,student_direct_reliable_legacy,0.9869942196531792
Case2007,CenterB,4,1,6,0.5216773276474769,0,1,45846.13921029703,10.017346291592615,C0+LGE+T2,0,edema,0.5428994082840237,42396.703291601625,1,0.5020519835841313,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch275_04b58946,student_direct_reliable_legacy,0.9247606019151847
Case2007,CenterB,5,1,2,0.36623376623376624,0,1,40860.13638236459,20.994429281533453,C0+LGE+T2,0,scar,0.4200595829195631,31578.017910238785,1,0.3246354566385265,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch275_04b58946,student_direct_reliable_legacy,0.772831926323868
Case2020,CenterB,4,1,3,0.5970443349753695,0,1,32361.980619033195,7.083333492279053,C0+LGE+T2,0,edema,0.6072144288577155,31295.791335072798,1,0.5872093023255814,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch275_04b58946,student_direct_reliable_legacy,0.9670542635658915
Case2020,CenterB,5,1,2,0.42391304347826086,0,1,17592.123185346532,21.21729514718693,C0+LGE+T2,0,scar,0.8914285714285715,5487.738961560862,1,0.27807486631016043,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch275_04b58946,student_direct_reliable_legacy,0.31194295900178254
Case2033,CenterB,4,1,9,0.5515342250196695,0,1,17797.91259765625,10.76453641085509,C0+LGE+T2,0,edema,0.4572733202870189,27040.83251953125,1,0.6947472745292369,0.0,20260723,screen_student_direct_reliable_legacy_seed20260723_epoch275_04b58946,student_direct_reliable_legacy,1.5193260654112983
