case_id,center,class_id,complete_trimodal,component_count,dice,empty_prediction,gt_positive,gt_volume_mm3,hd95,modality_group,no_t2_edema_predicted_voxels,pathology,precision,pred_volume_mm3,prediction_positive,recall,remote_fp_volume_mm3,seed,source_prefix,variant,volume_ratio
Case1021,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,
Case1021,CenterA,5,0,5,0.4609191546460919,0,1,29709.635178720408,13.430587989113992,LGE-only,0,scar,0.5654320987654321,20440.09441797582,1,0.38901472253680636,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,0.687995469988675
Case1029,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,
Case1029,CenterA,5,0,7,0.1677209470450027,0,1,5159.259845473123,53.193581387527686,LGE-only,0,scar,0.09377526273241714,43637.637120343614,1,0.7931623931623931,61.73473319369549,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,8.458119658119658
Case1033,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,
Case1033,CenterA,5,0,3,0.6522996548185465,0,1,35991.34945192447,4.1998208531077506,LGE-only,0,scar,0.526664658029527,58542.16556282152,1,0.8566527811810831,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,1.6265621171281548
Case1045,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,
Case1045,CenterA,5,0,7,0.08361658735554045,0,1,40984.048370752644,55.773719562043475,LGE-only,0,scar,0.08459422283356259,40047.58489991556,1,0.08266129032258064,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,0.9771505376344086
Case1047,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,
Case1047,CenterA,5,0,4,0.6575752243533345,0,1,70019.66121200379,7.221883170759668,LGE-only,0,scar,0.8015873015873016,48692.0734740993,1,0.557428400954654,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,0.6954057279236276
Case1053,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,
Case1053,CenterA,5,0,8,0.35094485152333205,0,1,33356.93359375,52.52083467074687,LGE-only,0,scar,0.29507133592736706,48940.4296875,1,0.4329210275927688,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,1.467174119885823
Case1062,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,
Case1062,CenterA,5,0,7,0.48596390718991694,0,1,41679.76415334355,20.39300482220261,LGE-only,0,scar,0.3672872916215631,81472.20932047984,1,0.7179432924248836,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,1.9547185780787135
Case1073,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,
Case1073,CenterA,5,0,5,0.36809815950920244,0,1,43159.72199943783,20.40215916427321,LGE-only,0,scar,0.44516129032258067,30421.814051445494,1,0.31377899045020463,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,0.7048658481127785
Case1080,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,
Case1080,CenterA,5,0,14,0.5462620281273131,0,1,33545.22324711496,12.588031571039357,LGE-only,0,scar,0.5599393019726859,31945.523294579132,1,0.5332369942196532,2132.933270047772,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,0.9523121387283237
Case2007,CenterB,4,1,10,0.6223606784354447,0,1,45846.13921029703,8.854166865348816,C0+LGE+T2,0,edema,0.6299929922915207,44748.591417984855,1,0.6149110807113544,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,0.9760601915184679
Case2007,CenterB,5,1,3,0.5058922558922558,0,1,40860.13638236459,11.43059698668575,C0+LGE+T2,0,scar,0.5601118359739049,33647.67946145603,1,0.4612432847275518,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,0.8234842670759785
Case2020,CenterB,4,1,1,0.5563122053431115,0,1,32361.980619033195,12.39373155574627,C0+LGE+T2,0,edema,0.6054732041049031,27501.41182450786,1,0.5145348837209303,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,0.8498062015503876
Case2020,CenterB,5,1,1,0.5102040816326531,0,1,17592.123185346532,10.755429055871652,C0+LGE+T2,0,scar,0.8968609865470852,6992.947362446126,1,0.35650623885918004,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,0.39750445632798576
Case2033,CenterB,4,1,5,0.44632352941176473,0,1,17797.91259765625,17.265625,C0+LGE+T2,0,edema,0.35476329631794273,30180.60302734375,1,0.6015857284440039,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,1.6957383548067393
Case2033,CenterB,5,1,1,0.6843235504652827,0,1,19403.076171875,10.0,C0+LGE+T2,0,scar,0.564344746162928,29880.7373046875,1,0.8690909090909091,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,1.54
Case3004,CenterC,4,1,4,0.27388668199874555,0,1,21348.70402834782,10.936000049114227,C0+LGE+T2,0,edema,0.4561281337047354,9159.467877116065,1,0.19569763967732298,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,0.42904093217806993
Case3004,CenterC,5,1,1,0.612479170523977,0,1,14836.2968538802,24.000003814697266,C0+LGE+T2,0,scar,0.5378861788617886,19613.76303769631,1,0.711092003439381,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,1.32201203783319
Case3011,CenterC,4,1,7,0.1473377097009482,0,1,10611.629688847093,32.34480109187989,C0+LGE+T2,0,edema,0.20079522862823063,6149.366052407935,1,0.11635944700460829,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,0.5794930875576036
Case3011,CenterC,5,1,1,0.7002467702133837,0,1,38216.53733564057,5.1552798625233915,C0+LGE+T2,0,scar,0.640977943130481,46004.10428471384,1,0.7715930902111324,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,1.2037747920665387
Case3023,CenterC,4,1,3,0.05924672027084215,0,1,9342.752245250682,44.09831433808355,C0+LGE+T2,0,edema,0.043777360850531584,19553.744555177804,1,0.09162303664921466,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,2.092931937172775
Case3023,CenterC,5,1,3,0.45805131433968205,0,1,23662.598945759255,40.83333444595337,C0+LGE+T2,0,scar,0.32933454051607064,54026.543742823975,1,0.751937984496124,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,2.283204134366925
Case3038,CenterC,4,1,7,0.2687385740402194,0,1,12223.186977062142,25.234375,C0+LGE+T2,0,edema,0.25987035945786685,13086.907444841927,1,0.2782334384858044,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,1.0706624605678234
Case3038,CenterC,5,1,2,0.6647451853792742,0,1,65665.89092093636,7.579721726205439,C0+LGE+T2,0,scar,0.7515923566878981,52062.29355340474,1,0.5958896065766295,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,0.7928361714621257
Case3040,CenterC,4,1,3,0.16142557651991615,0,1,3961.0224066178866,35.63655673480466,C0+LGE+T2,0,edema,0.09101654846335698,31028.008851840113,1,0.7129629629629629,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,7.833333333333333
Case3040,CenterC,5,1,1,0.861794921496414,0,1,34157.70556818017,1.458133339881897,C0+LGE+T2,0,scar,0.9399577167019028,28913.018492750933,1,0.7956335003579098,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,0.8464566929133859
Case6001,CenterF,4,0,0,,1,0,0.0,0.0,C0+LGE,0,edema,,0.0,0,,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,
Case6001,CenterF,5,0,6,0.5187631341939357,0,1,24843.75,10.680004681646913,C0+LGE,0,scar,0.49626651349798967,27203.125,1,0.5433962264150943,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,1.0949685534591196
Case7005,CenterG,4,0,0,,1,0,0.0,0.0,C0+LGE,0,edema,,0.0,0,,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch200_74eb2133,student_direct_reliable,
