case_id,center,class_id,complete_trimodal,component_count,dice,empty_prediction,gt_positive,gt_volume_mm3,hd95,modality_group,no_t2_edema_predicted_voxels,pathology,precision,pred_volume_mm3,prediction_positive,recall,remote_fp_volume_mm3,seed,source_prefix,variant,volume_ratio
Case1021,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch400_2618be9d,student_direct_reliable,
Case1021,CenterA,5,0,8,0.5589080459770115,0,1,29709.635178720408,11.02271893033385,LGE-only,0,scar,0.7642436149312377,17125.939191357516,1,0.4405436013590034,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch400_2618be9d,student_direct_reliable,0.5764439411098528
Case1029,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch400_2618be9d,student_direct_reliable,
Case1029,CenterA,5,0,6,0.15902140672782875,0,1,5159.259845473123,55.93326045861012,LGE-only,0,scar,0.09027777777777778,38099.14962810922,1,0.6666666666666666,35.27699039639742,20260724,screen_student_direct_reliable_seed20260724_epoch400_2618be9d,student_direct_reliable,7.384615384615385
Case1033,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch400_2618be9d,student_direct_reliable,
Case1033,CenterA,5,0,6,0.6790468012022327,0,1,35991.34945192447,5.341132748737832,LGE-only,0,scar,0.6042024832855778,46168.761181285125,1,0.7750551335456995,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch400_2618be9d,student_direct_reliable,1.2827738299436413
Case1045,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch400_2618be9d,student_direct_reliable,
Case1045,CenterA,5,0,13,0.04922279792746114,0,1,40984.048370752644,59.46216285763372,LGE-only,0,scar,0.06884057971014493,22805.639819209133,1,0.038306451612903226,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch400_2618be9d,student_direct_reliable,0.5564516129032258
Case1047,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch400_2618be9d,student_direct_reliable,
Case1047,CenterA,5,0,5,0.5570603465445131,0,1,70019.66121200379,10.0,LGE-only,0,scar,0.8379269023367286,34863.608163136734,1,0.4172136038186158,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch400_2618be9d,student_direct_reliable,0.49791169451073986
Case1053,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch400_2618be9d,student_direct_reliable,
Case1053,CenterA,5,0,21,0.36405959031657353,0,1,33356.93359375,50.7354711503806,LGE-only,0,scar,0.35642661804922515,34816.89453125,1,0.3720266412940057,95.21484375,20260724,screen_student_direct_reliable_seed20260724_epoch400_2618be9d,student_direct_reliable,1.043767840152236
Case1062,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch400_2618be9d,student_direct_reliable,
Case1062,CenterA,5,0,4,0.4990812720848056,0,1,41679.76415334355,20.0440477329261,LGE-only,0,scar,0.3746816638370119,83112.58937391233,1,0.7471434617012273,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch400_2618be9d,student_direct_reliable,1.9940753279729158
Case1073,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch400_2618be9d,student_direct_reliable,
Case1073,CenterA,5,0,6,0.44486081370449676,0,1,43159.72199943783,12.228608707183469,LGE-only,0,scar,0.5406636304489265,30166.663352949497,1,0.37789904502046384,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch400_2618be9d,student_direct_reliable,0.6989540700318326
Case1080,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260724,screen_student_direct_reliable_seed20260724_epoch400_2618be9d,student_direct_reliable,
Case1080,CenterA,5,0,11,0.571861964353432,0,1,33545.22324711496,11.0,LGE-only,0,scar,0.601755786113328,30370.061220112028,1,0.5447976878612717,1551.2241963983797,20260724,screen_student_direct_reliable_seed20260724_epoch400_2618be9d,student_direct_reliable,0.9053468208092486
