case_id,model_id,prediction_path,raw_geometry_match,raw_size_xyz,raw_spacing_xyz,standardized_geometry_match,status
Case1002,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1002.nii.gz,True,"[256, 256, 9]","[1.3672000169754028, 1.3672000169754028, 10.0]",True,PASS
Case1007,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1007.nii.gz,True,"[256, 256, 24]","[1.3672000169754028, 1.3672000169754028, 4.0]",True,PASS
Case1009,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1009.nii.gz,True,"[256, 256, 16]","[1.3672000169754028, 1.3672000169754028, 5.0]",True,PASS
Case1010,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1010.nii.gz,True,"[256, 256, 12]","[1.3672000169754028, 1.3672000169754028, 9.0]",True,PASS
Case1021,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1021.nii.gz,True,"[256, 256, 12]","[1.3672000169754028, 1.3672000169754028, 9.0]",True,PASS
Case1023,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1023.nii.gz,True,"[256, 256, 21]","[1.6405999660491943, 1.6405999660491943, 5.0]",True,PASS
Case1029,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1029.nii.gz,True,"[256, 256, 19]","[1.3280999660491943, 1.3280999660491943, 5.0]",True,PASS
Case1033,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1033.nii.gz,True,"[256, 256, 20]","[1.3280999660491943, 1.3280999660491943, 5.0]",True,PASS
Case1040,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1040.nii.gz,True,"[256, 256, 12]","[1.3672000169754028, 1.3672000169754028, 8.5]",True,PASS
Case1042,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1042.nii.gz,True,"[256, 256, 7]","[1.3672000169754028, 1.3672000169754028, 16.5]",True,PASS
Case1045,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1045.nii.gz,True,"[256, 256, 9]","[1.4844000339508057, 1.4844000339508057, 12.5]",True,PASS
