case_id,fold,role,t2_present,care_scar_dice,nnunet_scar_dice,care_scar_hd95,nnunet_scar_hd95,care_scar_sensitivity,nnunet_scar_sensitivity,care_scar_precision,nnunet_scar_precision,care_pure_edema_dice,nnunet_pure_edema_dice,care_pure_edema_hd95,nnunet_pure_edema_hd95,care_pure_edema_sensitivity,nnunet_pure_edema_sensitivity,care_pure_edema_precision,nnunet_pure_edema_precision
Case1001,1,outer,False,0.549165120593692,0.5506646971935008,33.0,29.137515702974277,0.578125,0.5200892857142857,0.5229681978798587,0.5850596359070935,,,,,,,,
Case1003,1,outer,False,0.48304562268803947,0.4545294013773618,20.1219495991242,19.04289268900613,0.4320374965536256,0.3548387096774194,0.5477105907025516,0.6321218074656189,,,,,,,,
Case1004,1,outer,False,0.6809696021894243,0.5606321668350068,4.2272018979955925,5.034498925621865,0.6172587933020289,0.4180030123150527,0.7593460490463215,0.851010101010101,,,,,,,,
Case1005,1,outer,False,0.6680455015511892,0.6970069700697007,5.360827526868877,5.698854581902417,0.6687370600414079,0.7542147293700089,0.6673553719008265,0.6478658536585366,,,,,,,,
Case1006,1,outer,False,0.36993110665387635,0.33782752480284917,22.002627454210767,20.779244694384303,0.4880349746893695,0.30556833870225497,0.2978514253616065,0.37770193401592717,,,,,,,,
Case1036,1,outer,False,0.643701004747709,0.7254218379584437,10.392746299749517,5.194004191920914,0.8657558657558657,0.7724977724977725,0.5123022847100176,0.6837539432176656,,,,,,,,
Case1038,1,outer,False,0.22616066268541707,0.31392931392931395,71.75776588482537,66.00125670445247,0.35425467712733855,0.27338563669281835,0.16610073571024336,0.36859235150528885,,,,,,,,
Case1043,1,outer,False,0.47031268298395595,0.46185074626865674,27.030849363740096,27.97074240261928,0.4031319012246537,0.3882754466974503,0.5643620011242271,0.5698291101944608,,,,,,,,
Case1054,1,outer,False,0.6594618438464932,0.6775067750677507,14.822379310465267,13.01084752317049,0.7889182058047494,0.7915567282321899,0.5665024630541872,0.5921831819976313,,,,,,,,
Case1056,1,outer,False,0.7013677063859096,0.7198349113862588,5.034498925621865,4.0,0.878698224852071,0.7310157790927022,0.5835925986572785,0.7089909134385461,,,,,,,,
Case1058,1,outer,False,0.6672085462145843,0.6765799256505576,4.1016000509262085,4.1016000509262085,0.596181780452376,0.6042747457978834,0.7574479303981018,0.7685405120084455,,,,,,,,
Case1063,1,outer,False,0.688410620516234,0.688735769922109,3.984299898147583,4.788532526532354,0.6850161907565498,0.6767736237856933,0.6918388583320946,0.7011283928026838,,,,,,,,
Case1069,1,outer,False,0.43285982310372556,0.46670894102726695,17.584352901833345,15.50735167902653,0.3202458853856831,0.3648621852072179,0.6676312525837123,0.6474313863476425,,,,,,,,
Case1072,1,outer,False,0.6246016571064372,0.6285007310763694,34.5,6.836000084877014,0.7162246815619128,0.583420338275214,0.5537617048756861,0.6811311555338859,,,,,,,,
Case1074,1,outer,False,0.5341832669322709,0.4990026595744681,25.05840355333424,25.85509104250695,0.4203661901178831,0.37647353900175573,0.7325174825174825,0.7397732873336619,,,,,,,,
Case1077,1,outer,False,0.452091367546722,0.4654628833476641,24.53178833650831,23.282577328575268,0.34048257372654156,0.36282394995531725,0.6725507502206531,0.6490807354116707,,,,,,,,
Case2001,1,outer,True,0.7508949252474205,0.7381001442406758,10.76453641085509,13.291186158895183,0.833956969130028,0.8376987839101965,0.6828801225584067,0.6596685082872928,0.6634146341463415,0.6909376050184832,5.939555565233817,4.788622787725611,0.6018998272884283,0.6658031088082902,0.7389345348529022,0.7180442374854482
Case2010,1,outer,True,0.7993953789678255,0.7976678903044698,3.1444705933590793,3.97747564417433,0.7113758647194466,0.7098385857033052,0.9122720551996057,0.9103006407097092,0.7105103280680437,0.7129055515501082,5.625,5.070306481121235,0.7232529375386518,0.764378478664193,0.6982089552238806,0.6679275871386112
Case2016,1,outer,True,0.7739208402715512,0.7764346608983331,6.384830526905883,7.083333492279053,0.7613407258064516,0.7689012096774194,0.7869236780411566,0.7841171935235158,0.5276114437791084,0.5455688246385921,20.311164499868305,20.38821360923728,0.4363536316947909,0.4776228906823184,0.6671340437464947,0.6360527601367856
Case2024,1,outer,True,0.6765868402697047,0.6775528978840847,12.168173779372154,13.217492581264773,0.6935176358436607,0.702097235462345,0.6604630049931911,0.6546666666666666,0.6196070055531824,0.6316217590238943,7.960278723914103,7.601397897755386,0.5996279454319967,0.6420008267879289,0.6409633230225364,0.6215729437662597
Case2026,1,outer,True,0.783086053412463,0.7862378459237098,5.830449435935449,5.53125,0.7,0.6970822281167108,0.8885521885521885,0.9015437392795883,0.6816767343950211,0.6803333333333333,5.214912511250788,5.53125,0.6756168359941945,0.7405660377358491,0.6878463243442926,0.6291615289765722
Case2027,1,outer,True,0.5611330972714018,0.5684430512016719,10.875,10.875,0.6432664756446992,0.6494746895893028,0.4975988178795715,0.5053883314752879,0.5677370797792273,0.574343339587242,9.61223280675463,8.704247010260278,0.543728976453628,0.5884190293128304,0.5939632545931759,0.5609253321117728
Case2030,1,outer,True,0.7517382413087934,0.7506172839506173,4.788622787725611,4.788622787725611,0.7157320872274143,0.7102803738317757,0.7915590008613265,0.7958115183246073,0.5400870105655686,0.5441133077604013,17.104304254942416,17.460979461871574,0.6399116347569955,0.678939617083947,0.46720430107526884,0.45396356474643035
Case3002,1,outer,True,0.3390234219928543,0.3787906976744186,7.983199744070113,6.6796875,0.24254473161033796,0.28912240840670267,0.5629531970995386,0.5490830636461704,0.12007290954659376,0.13011777902411667,117.24986638957655,117.14458345225069,0.07085237967195483,0.07797795106211347,0.3932835820895522,0.3926878808395396
Case3007,1,outer,True,0.5840063701512911,0.597737556561086,17.086439393062925,16.5025528701111,0.4636921965317919,0.4772398843930636,0.7886328725038403,0.799636803874092,0.32654470141525715,0.28708997893469757,10.522291299186993,11.593339362673941,0.6340482573726541,0.6394101876675603,0.2198977219897722,0.1850989522700815
Case3014,1,outer,True,0.6935257566646622,0.6804,3.006018888283859,4.162302527181282,0.5898397545175588,0.5799522673031027,0.8414396887159533,0.8229317851959361,0.44509660063585227,0.44111255975662755,14.360947920554832,14.434783615065495,0.3991228070175439,0.4451754385964912,0.5030403537866225,0.4371231696813092
Case3018,1,outer,True,0.8385807096451774,0.8208704015388314,2.0623948346565615,2.1875000596046448,0.9317046085508051,0.9478067740144365,0.7623807360290777,0.7239185750636132,0.2061114439784302,0.2,115.19494919557697,115.19633387514969,0.581081081081081,0.5743243243243243,0.12527312454479242,0.12108262108262108
Case3025,1,outer,True,0.5468734164386339,0.5837668073412504,6.09375,5.801077170482274,0.40504428764449785,0.4464795075814442,0.8415470991890206,0.8429705215419501,0.1940622737146995,0.2903430749682338,25.055800153614943,22.41008068243719,0.13254203758654798,0.22601384767556876,0.3621621621621622,0.4058614564831261
Case3028,1,outer,True,0.6813077611050382,0.6782541521823098,5.346482522467342,5.242657444450721,0.7641551493535443,0.7828800713330362,0.6146673838981531,0.5982964224872231,0.3590557429081531,0.3572369659326181,115.0095692975911,28.95352208170129,0.2631578947368421,0.2759523117185228,0.5649188514357054,0.5064034151547492
