fold,checkpoint_step,case_id,evidence_group,disabled_sources,changed_voxels,scar_dice_normal,scar_dice_disabled,scar_dice_delta_disabled_minus_normal,scar_sensitivity_delta,gt_scar_z_scar_delta_disabled_minus_normal,diagnostic_run
2,2000,Case1031,scar_lge_adapter,scar_lge_to_full|scar_lge_to_half,106,0.8614699332,0.858490566,-0.002979367147,-0.009671993272,-0.4163945877,gpu_readonly_63560023
2,2000,Case1031,scar_c0_adapter,scar_c0_to_full|scar_c0_to_half,17,0.8614699332,0.8622874291,0.0008174959582,0.002312867956,0.05211178409,gpu_readonly_63560023
2,2000,Case1031,scar_occupancy_proposal,scar_half_occupancy_to_full|scar_quarter_occupancy_to_half,92,0.8614699332,0.8578805568,-0.003589376382,-0.009882253995,-0.4283965603,gpu_readonly_63560023
2,2000,Case1031,scar_center,scar_half_center_to_full|scar_quarter_center_to_half,112,0.8614699332,0.8549222798,-0.006547653392,-0.0153490328,-0.5561024194,gpu_readonly_63560023
2,2000,Case1031,scar_context,scar_context_to_full|scar_context_to_half,129,0.8614699332,0.86573102,0.004261086817,0.01030277544,0.3067396169,gpu_readonly_63560023
2,2000,Case1031,soft_wall_geometry,scar_p_lv_to_full|scar_p_lv_to_half|scar_p_rv_to_full|scar_p_rv_to_half|scar_p_wall_to_full|scar_p_wall_to_half|scar_rho_to_full|scar_rho_to_half|scar_signed_endo_to_full|scar_signed_endo_to_half|scar_signed_epi_to_full|scar_signed_epi_to_half,290,0.8614699332,0.8410397976,-0.02043013562,-0.04457527334,-0.8544288664,gpu_readonly_63560023
2,6000,Case1031,scar_lge_adapter,scar_lge_to_full|scar_lge_to_half,263,0.3371960176,0.2868741543,-0.05032186336,-0.03889823381,-0.1832293884,gpu_readonly_63560023
2,6000,Case1031,scar_c0_adapter,scar_c0_to_full|scar_c0_to_half,30,0.3371960176,0.3417330515,0.004537033909,0.003784693019,0.04200547092,gpu_readonly_63560023
2,6000,Case1031,scar_occupancy_proposal,scar_half_occupancy_to_full|scar_quarter_occupancy_to_half,368,0.3371960176,0.2729640563,-0.06423196137,-0.05193439865,-0.2104469672,gpu_readonly_63560023
2,6000,Case1031,scar_center,scar_half_center_to_full|scar_quarter_center_to_half,395,0.3371960176,0.26482903,-0.07236698762,-0.05761143818,-0.3985725434,gpu_readonly_63560023
2,6000,Case1031,scar_context,scar_context_to_full|scar_context_to_half,436,0.3371960176,0.4043365399,0.0671405223,0.06118587048,0.1748671069,gpu_readonly_63560023
2,6000,Case1031,soft_wall_geometry,scar_p_lv_to_full|scar_p_lv_to_half|scar_p_rv_to_full|scar_p_rv_to_half|scar_p_wall_to_full|scar_p_wall_to_half|scar_rho_to_full|scar_rho_to_half|scar_signed_endo_to_full|scar_signed_endo_to_half|scar_signed_epi_to_full|scar_signed_epi_to_half,784,0.3371960176,0.1677563983,-0.1694396193,-0.1227922624,-0.7016984139,gpu_readonly_63560023
3,2000,Case1007,scar_lge_adapter,scar_lge_to_full|scar_lge_to_half,98,0.8155603917,0.8268513586,0.01129096682,0.02667337695,0.3347458403,gpu_readonly_63560023
3,2000,Case1007,scar_c0_adapter,scar_c0_to_full|scar_c0_to_half,25,0.8155603917,0.8197784383,0.00421804653,0.009058882738,0.1402269685,gpu_readonly_63560023
3,2000,Case1007,scar_occupancy_proposal,scar_half_occupancy_to_full|scar_quarter_occupancy_to_half,36,0.8155603917,0.8114035088,-0.004156882958,-0.009562154001,-0.142656605,gpu_readonly_63560023
3,2000,Case1007,scar_center,scar_half_center_to_full|scar_quarter_center_to_half,51,0.8155603917,0.8175620398,0.002001648084,0,-0.03047539104,gpu_readonly_63560023
3,2000,Case1007,scar_context,scar_context_to_full|scar_context_to_half,104,0.8155603917,0.805295091,-0.01026530072,-0.01962757927,-0.2375170393,gpu_readonly_63560023
3,2000,Case1007,soft_wall_geometry,scar_p_lv_to_full|scar_p_lv_to_half|scar_p_rv_to_full|scar_p_rv_to_half|scar_p_wall_to_full|scar_p_wall_to_half|scar_rho_to_full|scar_rho_to_half|scar_signed_endo_to_full|scar_signed_endo_to_half|scar_signed_epi_to_full|scar_signed_epi_to_half,138,0.8155603917,0.8286768582,0.01311646647,0.03673880221,0.7658790508,gpu_readonly_63560023
3,6000,Case1007,scar_lge_adapter,scar_lge_to_full|scar_lge_to_half,0,0,0,0,0,0.1019086522,gpu_readonly_63560023
3,6000,Case1007,scar_c0_adapter,scar_c0_to_full|scar_c0_to_half,0,0,0,0,0,0.1095830114,gpu_readonly_63560023
3,6000,Case1007,scar_occupancy_proposal,scar_half_occupancy_to_full|scar_quarter_occupancy_to_half,0,0,0,0,0,0.526304434,gpu_readonly_63560023
3,6000,Case1007,scar_center,scar_half_center_to_full|scar_quarter_center_to_half,0,0,0,0,0,0.2690265991,gpu_readonly_63560023
3,6000,Case1007,scar_context,scar_context_to_full|scar_context_to_half,0,0,0,0,0,0.1632907072,gpu_readonly_63560023
3,6000,Case1007,soft_wall_geometry,scar_p_lv_to_full|scar_p_lv_to_half|scar_p_rv_to_full|scar_p_rv_to_half|scar_p_wall_to_full|scar_p_wall_to_half|scar_rho_to_full|scar_rho_to_half|scar_signed_endo_to_full|scar_signed_endo_to_half|scar_signed_epi_to_full|scar_signed_epi_to_half,0,0,0,0,0,0.4702684923,gpu_readonly_63560023
2,4000,Case1031,scar_lge_adapter,scar_lge_to_full|scar_lge_to_half,414,0.6350404313,0.5667808219,-0.06825960935,-0.07779646762,-0.4242422739,gpu_readonly_63587878_step4000
2,4000,Case1031,scar_c0_adapter,scar_c0_to_full|scar_c0_to_half,37,0.6350404313,0.639935631,0.004895199684,0.006307821699,0.04660804505,gpu_readonly_63587878_step4000
2,4000,Case1031,scar_occupancy_proposal,scar_half_occupancy_to_full|scar_quarter_occupancy_to_half,382,0.6350404313,0.5751207043,-0.05991972692,-0.06959629941,-0.2907769701,gpu_readonly_63587878_step4000
2,4000,Case1031,scar_center,scar_half_center_to_full|scar_quarter_center_to_half,412,0.6350404313,0.5694721826,-0.06556824867,-0.07569386039,-0.4017672088,gpu_readonly_63587878_step4000
2,4000,Case1031,scar_context,scar_context_to_full|scar_context_to_half,270,0.6350404313,0.6723060906,0.03726565931,0.04772918419,0.2367307042,gpu_readonly_63587878_step4000
2,4000,Case1031,soft_wall_geometry,scar_p_lv_to_full|scar_p_lv_to_half|scar_p_rv_to_full|scar_p_rv_to_half|scar_p_wall_to_full|scar_p_wall_to_half|scar_rho_to_full|scar_rho_to_half|scar_signed_endo_to_full|scar_signed_endo_to_half|scar_signed_epi_to_full|scar_signed_epi_to_half,516,0.6350404313,0.5564424173,-0.07859801394,-0.08494533221,-0.2023868815,gpu_readonly_63587878_step4000
3,4000,Case1007,scar_lge_adapter,scar_lge_to_full|scar_lge_to_half,93,0.6386654751,0.6453317675,0.006666292343,0.01358832411,0.2057603136,gpu_readonly_63587878_step4000
3,4000,Case1007,scar_c0_adapter,scar_c0_to_full|scar_c0_to_half,52,0.6386654751,0.6488706366,0.01020516142,0.01711122295,0.1190484213,gpu_readonly_63587878_step4000
3,4000,Case1007,scar_occupancy_proposal,scar_half_occupancy_to_full|scar_quarter_occupancy_to_half,46,0.6386654751,0.6298408886,-0.008824586505,-0.01157523905,0.01023132912,gpu_readonly_63587878_step4000
3,4000,Case1007,scar_center,scar_half_center_to_full|scar_quarter_center_to_half,55,0.6386654751,0.6452184179,0.006552942819,0.01056869653,0.07970337308,gpu_readonly_63587878_step4000
3,4000,Case1007,scar_context,scar_context_to_full|scar_context_to_half,129,0.6386654751,0.6292537313,-0.009411743783,-0.009058882738,0.1239031677,gpu_readonly_63587878_step4000
3,4000,Case1007,soft_wall_geometry,scar_p_lv_to_full|scar_p_lv_to_half|scar_p_rv_to_full|scar_p_rv_to_half|scar_p_wall_to_full|scar_p_wall_to_half|scar_rho_to_full|scar_rho_to_half|scar_signed_endo_to_full|scar_signed_endo_to_half|scar_signed_epi_to_full|scar_signed_epi_to_half,286,0.6386654751,0.6497549726,0.01108949749,0.02767991948,0.1246833836,gpu_readonly_63587878_step4000
